,lemma,grammaticalCategory,inflectedForm_1,grammaticalSubCategory,locution,inflectedForm_2,inflectedForm_3,inflectedForm_4,inflectedForm_5,inflectedForm_6,inflectedForm_7,inflectedForm_8
671,tout plein de,preposition,tout plein de,,oui,tout plein d',,,,,,
672,tout près de,preposition,tout près de,,oui,tout près d',,,,,,
673,treize,numeral,treize,,,,,,,,,
674,trente,numeral,trente,,,,,,,,,
675,trente-cinq,numeral,trente-cinq,,,,,,,,,
676,trente-deux,numeral,trente-deux,,,,,,,,,
677,trente-et-quarante,numeral,trente-et-quarante,,,,,,,,,
678,trente-et-un,numeral,trente-et-un,,,,,,,,,
679,trente-huit,numeral,trente-huit,,,,,,,,,
680,trente-neuf,numeral,trente-neuf,,,,,,,,,
681,trente-quatre,numeral,trente-quatre,,,,,,,,,
682,trente-sept,numeral,trente-sept,,,,,,,,,
683,trente-six,numeral,trente-six,,,,,,,,,
684,trente-six mille,numeral,trente-six mille,,,,,,,,,
685,trente-trois,numeral,trente-trois,,,,,,,,,
686,trois,numeral,trois,,,,,,,,,
687,tu,pronoun,tu,personal,,,,,,,,
688,tézigue,pronoun,tézigue,personal,,,,,,,,
689,un,determiner,un,indefinite,,unes,uns,une,des,,,
690,un,numeral,un,,,une,,,,,,
691,un,pronoun,un,indefinite,,une,unes,uns,,,,
692,un drôle de,determiner,un drôle de,indefinite,oui,une drôle de,,,,,,
693,un peu de,determiner,un peu de,indefinite,oui,un peu d',un peu de la,un peu des,un peu du,,,
694,un tel,determiner,un tel,indefinite,,une telle,,,,,,
695,une fois que,conjunction,une fois que,subordination,oui,une fois qu',,,,,,
696,uns,pronoun,uns,personal,,,,,,,,
697,V,numeral,V,,,,,,,,,
698,vers,preposition,vers,,,,,,,,,
699,versus,preposition,versus,,,,,,,,,
700,VI,numeral,VI,,,,,,,,,
701,via,preposition,via,,,,,,,,,
702,VII,numeral,VII,,,,,,,,,
703,VIII,numeral,VIII,,,,,,,,,
704,vingt,numeral,vingt,,,vingts,,,,,,
705,vingt-cinq,numeral,vingt-cinq,,,,,,,,,
706,vingt-deux,numeral,vingt-deux,,,,,,,,,
707,vingt-et-un,numeral,vingt-et-un,,,,,,,,,
708,vingt-huit,numeral,vingt-huit,,,,,,,,,
709,vingt-neuf,numeral,vingt-neuf,,,,,,,,,
710,vingt-quatre,numeral,vingt-quatre,,,,,,,,,
711,vingt-sept,numeral,vingt-sept,,,,,,,,,
712,vingt-six,numeral,vingt-six,,,,,,,,,
713,vingt-trois,numeral,vingt-trois,,,,,,,,,
714,vis-à-vis,preposition,vis-à-vis,,,,,,,,,
715,vis-à-vis de,preposition,vis-à-vis de,,oui,vis-à-vis d',,,,,,
716,voici,preposition,voici,,,,,,,,,
717,voilà,preposition,voilà,,,,,,,,,
718,voire,conjunction,voire,coordination,,,,,,,,
719,voire même,conjunction,voire même,coordination,oui,,,,,,,
720,voszigues,pronoun,voszigues,personal,,,,,,,,
721,vot,determiner,vot,possessive,,vot',,,,,,
722,votre,determiner,votre,possessive,,vos,,,,,,
723,vous,pronoun,vous,personal,,,,,,,,
724,vous-même,pronoun,vous-même,personal,,vous-mêmes,,,,,,
725,vousaille,pronoun,vousaille,personal,,,,,,,,
726,vousailles,pronoun,vousailles,personal,,,,,,,,
727,vs,preposition,vs,,,versus,,,,,,
728,vs,pronoun,vs,personal,,,,,,,,
729,vs.,preposition,vs.,abbreviation,,,,,,,,
730,vu,preposition,vu,,,,,,,,,
731,vôtre,pronoun,vôtre,possessive,,vôtres,,,,,,
732,X,numeral,X,,,,,,,,,
733,XI,numeral,XI,,,,,,,,,
734,XII,numeral,XII,,,,,,,,,
735,XIII,numeral,XIII,,,,,,,,,
736,XIV,numeral,XIV,,,,,,,,,
737,XIX,numeral,XIX,,,,,,,,,
738,XL,numeral,XL,,,,,,,,,
739,XLI,numeral,XLI,,,,,,,,,
740,XLII,numeral,XLII,,,,,,,,,
741,XLIII,numeral,XLIII,,,,,,,,,
742,XLIV,numeral,XLIV,,,,,,,,,
743,XLIX,numeral,XLIX,,,,,,,,,
744,XLV,numeral,XLV,,,,,,,,,
745,XLVI,numeral,XLVI,,,,,,,,,
746,XLVII,numeral,XLVII,,,,,,,,,
747,XLVIII,numeral,XLVIII,,,,,,,,,
748,XV,numeral,XV,,,,,,,,,
749,XVI,numeral,XVI,,,,,,,,,
750,XVII,numeral,XVII,,,,,,,,,
751,XVIII,numeral,XVIII,,,,,,,,,
752,XX,numeral,XX,,,,,,,,,
753,XXI,numeral,XXI,,,,,,,,,
754,XXII,numeral,XXII,,,,,,,,,
755,XXIII,numeral,XXIII,,,,,,,,,
756,XXIV,numeral,XXIV,,,,,,,,,
757,XXIX,numeral,XXIX,,,,,,,,,
758,XXV,numeral,XXV,,,,,,,,,
759,XXVI,numeral,XXVI,,,,,,,,,
760,XXVII,numeral,XXVII,,,,,,,,,
761,XXVIII,numeral,XXVIII,,,,,,,,,
762,XXX,numeral,XXX,,,,,,,,,
763,XXXI,numeral,XXXI,,,,,,,,,
764,XXXII,numeral,XXXII,,,,,,,,,
765,XXXIII,numeral,XXXIII,,,,,,,,,
766,XXXIV,numeral,XXXIV,,,,,,,,,
767,XXXIX,numeral,XXXIX,,,,,,,,,
768,XXXV,numeral,XXXV,,,,,,,,,
769,XXXVI,numeral,XXXVI,,,,,,,,,
770,XXXVII,numeral,XXXVII,,,,,,,,,
771,XXXVIII,numeral,XXXVIII,,,,,,,,,
772,y,pronoun,y,personal,,,,,,,,
773,y compris,preposition,y compris,,oui,,,,,,,
774,zéro,numeral,zéro,,,,,,,,,
775,zéroième,numeral,zéroième,,,,,,,,,
776,à,preposition,au,,,aux,à,,,,,
777,à cause de,preposition,à cause de,,oui,à cause d',,,,,,
778,à chaque fois que,conjunction,à chaque fois que,subordination,oui,à chaque fois qu',,,,,,
779,à condition que,conjunction,à condition que,subordination,oui,à condition qu',,,,,,
780,à côté de,preposition,à côté de,,oui,à côté d',,,,,,
781,à défaut de,preposition,à défaut de,,oui,à défaut d',,,,,,
782,à force de,preposition,à force de,,oui,à force d',,,,,,
783,à hauteur de,preposition,à hauteur de,,oui,à hauteur d',,,,,,
784,à l'aune de,preposition,à l'aune de,,oui,à l'aune d',,,,,,
785,à l'encontre de,preposition,à l'encontre de,,oui,à l'encontre d',,,,,,
786,à l'heure où,conjunction,à l'heure où,subordination,oui,,,,,,,
787,à l'instar de,preposition,à l'instar de,,oui,à l'instar d',,,,,,
788,à l'insu de,preposition,à l'insu de,,oui,à l'insu d',,,,,,
789,à l'égard de,preposition,à l'égard de,,oui,à l'égard d',,,,,,
790,à mesure que,conjunction,à mesure que,subordination,oui,à mesure qu',,,,,,
791,à moins de,preposition,à moins de,,oui,à moins d',,,,,,
792,à moins que,conjunction,à moins que,subordination,oui,à moins qu',,,,,,
793,à même,preposition,à même,,oui,,,,,,,
794,à même de,preposition,à même de,,oui,à même d',,,,,,
795,à partir de,preposition,à partir de,,oui,à partir d',,,,,,
796,à partir du moment où,conjunction,à partir du moment où,subordination,oui,,,,,,,
797,à proportion de,preposition,à proportion de,,oui,à proportion d',,,,,,
798,à propos de,preposition,à propos de,,oui,à propos d',,,,,,
799,à présent que,conjunction,à présent que,subordination,oui,à présent qu',,,,,,
800,à raison de,preposition,à raison de,,oui,à raison d',,,,,,
801,à savoir,conjunction,à savoir,coordination,oui,,,,,,,
802,à supposer que,conjunction,à supposer que,subordination,oui,à supposer qu',,,,,,
803,à tel enseigne que,conjunction,à tel enseigne que,subordination,oui,à telle enseigne qu',à telle enseigne que,,,,,
804,à tel point que,conjunction,à tel point que,subordination,oui,à tel point qu',,,,,,
805,à travers,preposition,à travers,,oui,,,,,,,
806,ça,pronoun,ça,demonstrative,,ç',,,,,,
807,ça,pronoun,ça,personal,,,,,,,,
808,ès,preposition,ès,,,,,,,,,
809,étant donné que,conjunction,étant donné que,subordination,oui,étant donné qu',,,,,,
810,ôté,preposition,ôté,,,,,,,,,
