"Word","lemme","cgram","freqlemlivres"
"discrètement","discrètement","ADV","19.73"
"gravement","gravement","ADV","19.73"
"net","net","ADV","19.32"
"court","court","ADV","19.26"
"sitôt","sitôt","ADV","19.12"
"clairement","clairement","ADV","18.18"
"dessous","dessous","ADV","17.5"
"infiniment","infiniment","ADV","17.43"
"quasi","quasi","ADV","17.36"
"silencieusement","silencieusement","ADV","17.16"
"pratiquement","pratiquement","ADV","17.03"
"extrêmement","extrêmement","ADV","16.96"
"faiblement","faiblement","ADV","16.89"
"généralement","généralement","ADV","16.89"
"voire","voire","ADV","16.89"
"actuellement","actuellement","ADV","16.69"
"carrément","carrément","ADV","16.55"
"près de","près de","ADV","16.35"
"effectivement","effectivement","ADV","16.28"
"gaiement","gaiement","ADV","16.22"
"proprement","proprement","ADV","16.22"
"constamment","constamment","ADV","15.68"
"fortement","fortement","ADV","15.68"
"subitement","subitement","ADV","15.54"
"récemment","récemment","ADV","15.07"
"personnellement","personnellement","ADV","14.93"
"étrangement","étrangement","ADV","14.86"
"spécialement","spécialement","ADV","14.8"
"lourdement","lourdement","ADV","14.66"
"terriblement","terriblement","ADV","14.53"
"beau","beau","ADV","14.46"
"nullement","nullement","ADV","14.19"
"distraitement","distraitement","ADV","13.51"
"sincèrement","sincèrement","ADV","13.11"
"difficilement","difficilement","ADV","13.04"
"secrètement","secrètement","ADV","13.04"
"durement","durement","ADV","12.97"
"curieusement","curieusement","ADV","12.84"
"librement","librement","ADV","12.84"
"tendrement","tendrement","ADV","12.84"
"delà","delà","ADV","12.7"
"successivement","successivement","ADV","12.57"
"calmement","calmement","ADV","12.43"
"normalement","normalement","ADV","12.43"
"vainement","vainement","ADV","12.09"
"attentivement","attentivement","ADV","11.82"
"bizarrement","bizarrement","ADV","11.82"
"tristement","tristement","ADV","11.82"
"vachement","vachement","ADV","11.82"
"aisément","aisément","ADV","11.69"
"néanmoins","néanmoins","ADV","11.69"
"mollement","mollement","ADV","11.55"
"sèchement","sèchement","ADV","11.55"
"au-dehors","au-dehors","ADV","11.42"
"bêtement","bêtement","ADV","11.28"
"indéfiniment","indéfiniment","ADV","11.22"
"timidement","timidement","ADV","11.22"
