Word,lemme,cgram,freq
vu,vu,ADJ,43.03
grandes,grand,ADJ,42.68
propres,propre,ADJ,42.63
forte,fort,ADJ,42.42
rapide,rapide,ADJ,42.28
entier,entier,ADJ,42.15
derniers,dernier,ADJ,41.81
amoureuse,amoureux,ADJ,41.65
noire,noir,ADJ,41.57
moyen,moyen,ADJ,41.56
gentille,gentil,ADJ,41.44
chère,cher,ADJ,40.8
responsable,responsable,ADJ,40.66
présent,présent,ADJ,40.09
énorme,énorme,ADJ,39.73
nouveaux,nouveau,ADJ,39.17
nouvelles,nouvelle,ADJ,38.37
droit,droit,ADJ,38.33
proche,proche,ADJ,38.29
censé,censé,ADJ,38.22
nulle,nulle,ADJ,37.84
agréable,agréable,ADJ,37.71
doux,doux,ADJ,37.66
utile,utile,ADJ,36.47
droite,droit,ADJ,36.33
blanche,blanc,ADJ,35.92
parfait,parfait,ADJ,35.58
importante,important,ADJ,35.29
enchanté,enchanté,ADJ,35.28
continue,continue,ADJ,35.19
militaire,militaire,ADJ,35.09
vieil,vieil,ADJ,34.69
bien,bien,ADJ,34.29
amis,ami,ADJ,34.27
aveugle,aveugle,ADJ,33.85
mêmes,même,ADJ,33.61
malin,malin,ADJ,33.11
certaine,certain,ADJ,32.77
meilleurs,meilleur,ADJ,32.64
nerveux,nerveux,ADJ,32.52
haute,haut,ADJ,32.44
ancien,ancien,ADJ,32.41
humaine,humain,ADJ,32.37
seconde,second,ADJ,32.34
neuf,neuf,ADJ,32.05
sage,sage,ADJ,31.93
intelligent,intelligent,ADJ,31.92
joyeux,joyeux,ADJ,31.81
secret,secret,ADJ,31.81
portable,portable,ADJ,31.7
bel,bel,ADJ,31.35
bleu,bleu,ADJ,31.24
faible,faible,ADJ,31.03
vrais,vrai,ADJ,31.01
américain,américain,ADJ,30.93
nouvel,nouvel,ADJ,30.59
troisième,troisième,ADJ,30.47
marrant,marrant,ADJ,30.41
méchant,méchant,ADJ,30.23
connard,connard,ADJ,29.94
nombreux,nombreux,ADJ,29.89
jaloux,jaloux,ADJ,29.87
français,français,ADJ,29.78
fait,fait,ADJ,29.5
vingt,vingt,ADJ,29.47
sacré,sacré,ADJ,29.19
pauvres,pauvre,ADJ,29.09
nul,nul,ADJ,28.8
évident,évident,ADJ,28.75
double,double,ADJ,28.68
chers,cher,ADJ,28.61
personnel,personnel,ADJ,28.48
chéri,chéri,ADJ,28.45
vivante,vivant,ADJ,28.12
général,général,ADJ,27.96
fort,fort,ADJ,27.93
cents,cents,ADJ,27.67
charmant,charmant,ADJ,27.52
frais,frais,ADJ,27.41
sec,sec,ADJ,27.4
égal,égal,ADJ,27.4
pure,pur,ADJ,26.97
sexy,sexy,ADJ,26.83
véritable,véritable,ADJ,26.78
urgent,urgent,ADJ,26.75
sales,sale,ADJ,26.73
i,i,ADJ,26.72
pur,pur,ADJ,26.48
entière,entier,ADJ,26.45
mauvaises,mauvais,ADJ,26.32
dernières,dernier,ADJ,26.3
dure,dur,ADJ,26.16
curieux,curieux,ADJ,26.11
célèbre,célèbre,ADJ,25.98
moche,moche,ADJ,25.64
affreux,affreux,ADJ,25.34
amusant,amusant,ADJ,25.24
demi,demi,ADJ,25.18
raisonnable,raisonnable,ADJ,25.04
politique,politique,ADJ,24.89
russe,russe,ADJ,24.85
vert,vert,ADJ,24.74
profond,profond,ADJ,24.72
sombre,sombre,ADJ,24.66
lâche,lâche,ADJ,24.65
brave,brave,ADJ,24.55
malheureux,malheureux,ADJ,24.55
différente,différent,ADJ,24.45
vierge,vierge,ADJ,24.22
fantastique,fantastique,ADJ,24.2
libres,libre,ADJ,24.06
réel,réel,ADJ,23.97
avant,avant,ADJ,23.8
prudent,prudent,ADJ,23.79
normale,normal,ADJ,23.74
noble,noble,ADJ,23.73
extraordinaire,extraordinaire,ADJ,23.71
exprès,exprès,ADJ,23.68
sérieuse,sérieux,ADJ,23.64
vidéo,vidéo,ADJ,23.61
innocent,innocent,ADJ,23.49
haut,haut,ADJ,23.41
la plupart des,la plupart des,ADJ,23.41
différentes,différent,ADJ,23.25
rouges,rouge,ADJ,23.23
anglais,anglais,ADJ,23.02
adorable,adorable,ADJ,23
ferme,ferme,ADJ,22.93
spéciale,spécial,ADJ,22.77
enculé,enculé,ADJ,22.73
différents,différent,ADJ,22.67
puissant,puissant,ADJ,22.65
rare,rare,ADJ,22.58
chaude,chaud,ADJ,22.48
chouette,chouette,ADJ,22.27
aimable,aimable,ADJ,21.98
fausse,faux,ADJ,21.98
digne,digne,ADJ,21.96
feu,feu,ADJ,21.93
quinze,quinze,ADJ,21.92
magique,magique,ADJ,21.84
douze,douze,ADJ,21.81
noirs,noir,ADJ,21.65
bleue,bleu,ADJ,21.63
absurde,absurde,ADJ,21.56
froide,froid,ADJ,21.48
claire,clair,ADJ,21.21
sensible,sensible,ADJ,21.11
charmante,charmant,ADJ,21.04
excellente,excellent,ADJ,21.04
pareille,pareil,ADJ,21.01
jolies,joli,ADJ,20.99
merveilleuse,merveilleux,ADJ,20.93
sacrée,sacré,ADJ,20.68
fini,fini,ADJ,20.66
délicieux,délicieux,ADJ,20.62
romantique,romantique,ADJ,20.58
courageux,courageux,ADJ,20.22
précis,précis,ADJ,20.18
fidèle,fidèle,ADJ,20.04
allemand,allemand,ADJ,19.91
ancienne,ancien,ADJ,19.82
fière,fier,ADJ,19.68
riches,riche,ADJ,19.57
premiers,premier,ADJ,19.36
parfaite,parfait,ADJ,19.32
immense,immense,ADJ,19.01
naturel,naturel,ADJ,19.01
enchantée,enchanté,ADJ,18.96
trente,trente,ADJ,18.91
réfléchis,réfléchi,ADJ,18.86
dégueulasse,dégueulasse,ADJ,18.8
privée,privé,ADJ,18.8
ami,ami,ADJ,18.79
imbécile,imbécile,ADJ,18.79
nationale,national,ADJ,18.59
fatigué,fatigué,ADJ,18.46
rose,rose,ADJ,18.43
cardiaque,cardiaque,ADJ,18.34
tendre,tendre,ADJ,18.34
gay,gay,ADJ,18.27
furieux,furieux,ADJ,18.06
inquiet,inquiet,ADJ,17.9
public,public,ADJ,17.9
humains,humain,ADJ,17.85
débile,débile,ADJ,17.8
complet,complet,ADJ,17.76
longs,long,ADJ,17.65
chic,chic,ADJ,17.62
maudit,maudit,ADJ,17.59
principal,principal,ADJ,17.53
vieilles,vieux,ADJ,17.52
musical,musical,ADJ,17.5
perdu,perdu,ADJ,17.5
américaine,américain,ADJ,17.49
blancs,blanc,ADJ,17.46
sûrs,sûr,ADJ,17.43
court,court,ADJ,17.42
intelligente,intelligent,ADJ,17.42
mignonne,mignon,ADJ,17.41
nu,nu,ADJ,17.39
arrière,arrière,ADJ,17.38
incapable,incapable,ADJ,17.38
fichu,fichu,ADJ,17.34
solide,solide,ADJ,17.31
juif,juif,ADJ,17.23
seules,seul,ADJ,17.22
compliqué,compliqué,ADJ,17.17
vivants,vivant,ADJ,17.16
commandant,commandant,ADJ,17.14
proches,proche,ADJ,17.05
léger,léger,ADJ,17.03
forts,fort,ADJ,17
nerveuse,nerveux,ADJ,16.99
assis,assis,ADJ,16.96
sourd,sourd,ADJ,16.96
moderne,moderne,ADJ,16.77
toutes,toutes,ADJ,16.68
ouverte,ouvert,ADJ,16.67
sauvage,sauvage,ADJ,16.67
ivre,ivre,ADJ,16.59
généreux,généreux,ADJ,16.57
publique,public,ADJ,16.5
gamin,gamin,ADJ,16.44
tranquilles,tranquille,ADJ,16.41
foutu,foutu,ADJ,16.28
populaire,populaire,ADJ,16.23
précieux,précieux,ADJ,16.13
sociale,social,ADJ,16.06
idiote,idiot,ADJ,16.05
vain,vain,ADJ,16.02
sexuel,sexuel,ADJ,15.97
électrique,électrique,ADJ,15.95
injuste,injuste,ADJ,15.94
reçu,reçu,ADJ,15.92
morte,mort,ADJ,15.87
géniale,génial,ADJ,15.86
idéal,idéal,ADJ,15.8
légère,léger,ADJ,15.71
cruel,cruel,ADJ,15.64
ennuyeux,ennuyeux,ADJ,15.62
pires,pire,ADJ,15.61
ordinaire,ordinaire,ADJ,15.54
étonnant,étonnant,ADJ,15.52
jaune,jaune,ADJ,15.48
splendide,splendide,ADJ,15.45
difficiles,difficile,ADJ,15.43
grosses,gros,ADJ,15.41
second,second,ADJ,15.32
personnelle,personnel,ADJ,15.28
totale,total,ADJ,15.26
meilleures,meilleur,ADJ,15.25
nue,nu,ADJ,15.23
sincère,sincère,ADJ,15.2
telles,telles,ADJ,15.12
suprême,suprême,ADJ,14.98
café,café,ADJ,14.88
morts,mort,ADJ,14.85
physique,physique,ADJ,14.76
sexuelle,sexuel,ADJ,14.74
méchante,méchant,ADJ,14.73
anciens,ancien,ADJ,14.72
chinois,chinois,ADJ,14.63
mortel,mortel,ADJ,14.62
étranges,étrange,ADJ,14.61
fatiguée,fatigué,ADJ,14.59
anniversaire,anniversaire,ADJ,14.57
une,une,ADJ,14.54
pâle,pâle,ADJ,14.52
secrète,secret,ADJ,14.43
élevé,élevé,ADJ,14.37
correct,correct,ADJ,14.32
net,net,ADJ,14.31
direct,direct,ADJ,14.29
large,large,ADJ,14.25
verte,vert,ADJ,14.24
brillant,brillant,ADJ,14.23
jalouse,jaloux,ADJ,14.2
timide,timide,ADJ,14.18
premières,premier,ADJ,14.16
bizarres,bizarre,ADJ,14.1
mince,mince,ADJ,14.1
courte,court,ADJ,14.07
éternel,éternel,ADJ,14.06
naturelle,naturel,ADJ,14.02
nombreuses,nombreux,ADJ,14.01
divine,divin,ADJ,14
gentils,gentil,ADJ,13.98
venu,venu,ADJ,13.93
vraies,vrai,ADJ,13.91
sain,sain,ADJ,13.89
particulier,particulier,ADJ,13.88
mal,mal,ADJ,13.82
importantes,important,ADJ,13.8
logique,logique,ADJ,13.79
préféré,préféré,ADJ,13.76
classique,classique,ADJ,13.74
directeur,directeur,ADJ,13.65
médical,médical,ADJ,13.65
tels,tels,ADJ,13.65
scientifique,scientifique,ADJ,13.62
dangereuse,dangereux,ADJ,13.61
fraîche,frais,ADJ,13.59
censée,censé,ADJ,13.51
pleins,plein,ADJ,13.46
politiques,politique,ADJ,13.2
ouvert,ouvert,ADJ,13.19
salaud,salaud,ADJ,13.17
simples,simple,ADJ,13.12
occupé,occupé,ADJ,13.11
longues,long,ADJ,13.07
minable,minable,ADJ,13.06
intéressante,intéressant,ADJ,13.05
italien,italien,ADJ,13.01
demie,demi,ADJ,12.98
impressionnant,impressionnant,ADJ,12.98
bleus,bleu,ADJ,12.97
étranger,étranger,ADJ,12.96
suffisant,suffisant,ADJ,12.95
fragile,fragile,ADJ,12.94
invisible,invisible,ADJ,12.85
éternelle,éternel,ADJ,12.85
franc,franc,ADJ,12.84
violent,violent,ADJ,12.84
légitime,légitime,ADJ,12.82
sympathique,sympathique,ADJ,12.79
fameux,fameux,ADJ,12.77
marié,marié,ADJ,12.66
mis,mis,ADJ,12.66
maudite,maudit,ADJ,12.65
secrets,secret,ADJ,12.65
blessé,blessé,ADJ,12.55
commun,commun,ADJ,12.55
malheureuse,malheureux,ADJ,12.48
enfoiré,enfoiré,ADJ,12.45
excitant,excitant,ADJ,12.44
sure,sur,ADJ,12.38
fiers,fier,ADJ,12.36
nord,nord,ADJ,12.26
inquiète,inquiet,ADJ,12.25
national,national,ADJ,12.23
remarquable,remarquable,ADJ,12.2
efficace,efficace,ADJ,12.19
gratuit,gratuit,ADJ,12.15
fin,fin,ADJ,12.14
durs,dur,ADJ,12.08
pénible,pénible,ADJ,12.07
confortable,confortable,ADJ,12.04
américains,américain,ADJ,12.03
privé,privé,ADJ,11.99
crétin,crétin,ADJ,11.98
contents,content,ADJ,11.96
illégal,illégal,ADJ,11.93
douloureux,douloureux,ADJ,11.88
mystérieux,mystérieux,ADJ,11.84
vides,vide,ADJ,11.8
professionnel,professionnel,ADJ,11.75
technique,technique,ADJ,11.72
profonde,profond,ADJ,11.71
capables,capable,ADJ,11.7
stupides,stupide,ADJ,11.7
importants,important,ADJ,11.65
prisonnier,prisonnier,ADJ,11.62
volontaire,volontaire,ADJ,11.54
pilote,pilote,ADJ,11.49
cassé,cassé,ADJ,11.48
dégoûtant,dégoûtant,ADJ,11.47
nucléaire,nucléaire,ADJ,11.45
blanches,blanc,ADJ,11.43
patient,patient,ADJ,11.35
onze,onze,ADJ,11.27
pressée,pressé,ADJ,11.26
suivante,suivant,ADJ,11.2
fabuleux,fabuleux,ADJ,11.1
maigre,maigre,ADJ,11.1
terribles,terrible,ADJ,11.1
parti,parti,ADJ,11.06
gris,gris,ADJ,11.05
solitaire,solitaire,ADJ,11.04
française,français,ADJ,11.03
vilain,vilain,ADJ,11.03
célibataire,célibataire,ADJ,11.02
insupportable,insupportable,ADJ,11.01
pratique,pratique,ADJ,11
catholique,catholique,ADJ,10.91
allemande,allemand,ADJ,10.82
nus,nu,ADJ,10.8
suivant,suivant,ADJ,10.8
prêtes,prêt,ADJ,10.78
malades,malade,ADJ,10.77
gai,gai,ADJ,10.74
rares,rare,ADJ,10.7
supérieure,supérieur,ADJ,10.7
principale,principal,ADJ,10.68
probable,probable,ADJ,10.61
dites,dit,ADJ,10.59
gras,gras,ADJ,10.55
tragique,tragique,ADJ,10.55
royal,royal,ADJ,10.51
médicale,médical,ADJ,10.41
tristes,triste,ADJ,10.41
foutue,foutu,ADJ,10.35
bref,bref,ADJ,10.34
reconnaissant,reconnaissant,ADJ,10.32
inconnu,inconnu,ADJ,10.31
neuve,neuf,ADJ,10.3
honnêtes,honnête,ADJ,10.29
pareils,pareil,ADJ,10.29
générale,général,ADJ,10.27
communiste,communiste,ADJ,10.26
chanceux,chanceux,ADJ,10.24
soûl,soûl,ADJ,10.22
misérable,misérable,ADJ,10.17
fine,fin,ADJ,10.16
lourd,lourd,ADJ,10.15
perdue,perdu,ADJ,10.14
central,central,ADJ,10.09
effrayant,effrayant,ADJ,10.07
horribles,horrible,ADJ,10.07
divin,divin,ADJ,10.01
pressé,pressé,ADJ,9.96
fixe,fixe,ADJ,9.83
préférée,préféré,ADJ,9.82
légal,légal,ADJ,9.8
quelconque,quelconque,ADJ,9.79
soudain,soudain,ADJ,9.77
civile,civil,ADJ,9.76
final,final,ADJ,9.73
exceptionnel,exceptionnel,ADJ,9.72
dit,dit,ADJ,9.71
sainte,saint,ADJ,9.71
positif,positif,ADJ,9.69
espagnol,espagnol,ADJ,9.68
humble,humble,ADJ,9.66
royale,royal,ADJ,9.64
délicat,délicat,ADJ,9.6
personnels,personnel,ADJ,9.6
énormes,énorme,ADJ,9.55
basse,bas,ADJ,9.54
désagréable,désagréable,ADJ,9.54
officiel,officiel,ADJ,9.54
épouvantable,épouvantable,ADJ,9.53
discret,discret,ADJ,9.52
laid,laid,ADJ,9.52
magnifiques,magnifique,ADJ,9.51
sublime,sublime,ADJ,9.51
cruelle,cruel,ADJ,9.47
mariée,marié,ADJ,9.47
absent,absent,ADJ,9.46
soi-disant,soi-disant,ADJ,9.46
argent,argent,ADJ,9.41
futur,futur,ADJ,9.41
noires,noir,ADJ,9.39
jolis,joli,ADJ,9.37
venue,venu,ADJ,9.35
armé,armé,ADJ,9.33
verts,vert,ADJ,9.32
honorable,honorable,ADJ,9.31
judiciaire,judiciaire,ADJ,9.29
total,total,ADJ,9.29
vif,vif,ADJ,9.27
cinquante,cinquante,ADJ,9.26
délicate,délicat,ADJ,9.26
fausses,faux,ADJ,9.26
pourri,pourri,ADJ,9.23
ravissante,ravissant,ADJ,9.22
brillante,brillant,ADJ,9.2
censés,censé,ADJ,9.18
puissante,puissant,ADJ,9.16
social,social,ADJ,9.16
lent,lent,ADJ,9.15
intime,intime,ADJ,9.09
vive,vif,ADJ,9.09
extrême,extrême,ADJ,9.07
sexuels,sexuel,ADJ,9.07
modeste,modeste,ADJ,9.06
gênant,gênant,ADJ,8.89
soviétique,soviétique,ADJ,8.89
réelle,réel,ADJ,8.88
interne,interne,ADJ,8.86
