,0
0,250
1,162
2,100
3,195
4,269
5,390
6,214
7,265
8,377
9,468
10,162
11,377
12,507
13,245
14,250
15,100
16,316
17,434
18,28
19,499
20,245
21,192
22,507
23,121
24,5
25,195
26,250
27,377
28,439
29,133
30,432
31,213
32,249
33,57
34,364
35,325
36,331
37,137
38,82
39,272
40,245
41,192
42,250
43,121
44,5
45,276
46,439
47,181
48,507
49,195
50,245
51,192
52,439
53,121
54,507
55,250
56,5
57,466
58,181
59,503
