,0
0,100
1,250
2,195
3,265
4,162
5,269
6,377
7,390
8,468
9,434
10,100
11,434
12,162
13,316
14,377
15,245
16,507
17,250
18,186
19,117
20,100
21,195
22,316
23,245
24,507
25,192
26,377
27,121
28,117
29,403
30,100
31,195
32,316
33,245
34,507
35,192
36,377
37,121
38,117
39,403
40,100
41,192
42,403
43,245
44,377
45,316
46,195
47,121
48,507
49,202
50,100
51,316
52,245
53,195
54,192
55,202
56,117
57,121
58,507
59,499
60,100
61,195
62,316
63,245
64,507
65,192
66,403
67,121
68,377
69,202
