,0
0,133
1,328
2,81
3,21
4,310
5,292
6,260
7,26
8,369
9,110
10,256
11,133
12,426
13,98
14,310
15,381
16,12
17,188
18,1
19,412
20,158
21,220
22,478
23,439
24,464
25,250
26,50
27,47
28,222
29,119
30,318
31,310
32,64
33,487
34,47
35,69
36,291
37,365
38,425
39,182
40,158
41,220
42,182
43,119
44,39
45,318
46,250
47,464
48,222
49,208
50,276
51,2
52,478
53,158
54,370
55,24
56,220
57,409
58,464
59,139
