,0
0,12
1,261
2,216
3,192
4,291
5,310
6,341
7,92
8,275
9,56
10,192
11,310
12,378
13,508
14,480
15,158
16,159
17,175
18,89
19,282
20,310
21,159
22,480
23,401
24,192
25,89
26,29
27,458
28,198
29,504
30,341
31,162
32,89
33,185
34,346
35,299
36,127
37,182
38,4
39,504
40,310
41,480
42,159
43,89
44,458
45,401
46,192
47,341
48,29
49,282
50,310
51,159
52,480
53,401
54,89
55,158
56,282
57,192
58,504
59,458
