,0
0,52
1,92
2,261
3,275
4,229
5,427
6,132
7,37
8,345
9,223
10,159
11,409
12,305
13,465
14,275
15,378
16,260
17,387
18,462
19,37
20,159
21,480
22,401
23,310
24,346
25,458
26,29
27,504
28,128
29,341
30,185
31,127
32,341
33,346
34,209
35,299
36,96
37,159
38,89
39,4
40,159
41,480
42,310
43,458
44,401
45,346
46,29
47,89
48,128
49,341
50,159
51,409
52,458
53,504
54,346
55,480
56,401
57,212
58,128
59,305
