,lemma,"('singular', 'masculine')","('plural', 'masculine')","('singular', 'feminine')","('plural', 'feminine')","('singular', 'invariable')","('plural', 'invariable')","('invariable', 'masculine')","('invariable', 'invariable')","('invariable', 'feminine')"
0,a-humain,a-humain,,,,,,,,
1,a-raciste,a-raciste,,,,,,,,
2,aalénien,aalénien,aaléniens,aalénienne,aaléniennes,,,,,
3,aaronide,aaronide,,,,,,,,
4,abactérien,abactérien,abactériens,abactérienne,abactériennes,,,,,
5,abaissable,,,,,abaissable,abaissables,,,
6,abaissant,abaissant,abaissants,abaissante,abaissantes,,,,,
7,abaisseur,abaisseur,abaisseurs,abaisseuse,abaisseuses,,,,,
8,abaissé,abaissé,abaissés,abaissée,abaissées,,,,,
9,abandonnique,,,,,abandonnique,abandonniques,,,
10,abandonné,abandonné,abandonnés,abandonnée,abandonnées,,,,,
11,abarticulaire,,,,,abarticulaire,abarticulaires,,,
12,abasourdi,abasourdi,abasourdis,abasourdie,abasourdies,,,,,
13,abasourdissant,abasourdissant,abasourdissants,abasourdissante,abasourdissantes,,,,,
14,abattable,,,,,abattable,abattables,,,
15,abattant,abattant,abattants,abattante,abattantes,,,,,
16,abatteur,abatteur,abatteurs,abatteuse,abatteuses,,,,,
17,abattu,abattu,abattus,abattue,abattues,,,,,
18,abaza,,,,,abaza,abazas,,,
19,abbasside,,,,,abbasside,abbassides,,,
20,abbatial,abbatial,abbatiaux,abbatiale,abbatiales,,,,,
21,abbevillien,abbevillien,abbevilliens,abbevillienne,abbevilliennes,,,,,
22,abbevillois,,,abbevilloise,abbevilloises,,,abbevillois,,
23,abcédant,abcédant,abcédants,abcédante,abcédantes,,,,,
24,abdicataire,,,,,abdicataire,abdicataires,,,
25,abdicatif,abdicatif,abdicatifs,abdicative,abdicatives,,,,,
26,abdominal,abdominal,abdominaux,abdominale,abdominales,,,,,
27,abdominien,abdominien,,,,,,,,
28,abdomino-coraco-huméral,abdomino-coraco-huméral,,,,,,,,
29,abdomino-guttural,abdomino-guttural,,,,,,,,
30,abdomino-génital,abdomino-génital,abdomino-génitaux,abdomino-génitale,abdomino-génitales,,,,,
31,abdomino-huméral,abdomino-huméral,,,,,,,,
32,abdomino-périnéal,abdomino-périnéal,,,,,,,,
33,abdomino-scrotal,abdomino-scrotal,,,,,,,,
34,abdomino-thoracique,,,,,abdomino-thoracique,,,,
35,abdominoscopique,,,,,abdominoscopique,abdominoscopiques,,,
36,abducteur,abducteur,abducteurs,abductrice,abductrices,,,,,
37,abdéritain,abdéritain,abdéritains,abdéritaine,abdéritaines,,,,,
38,abeiller,abeiller,abeillers,abeillère,abeillères,,,,,
39,abeillé,abeillé,abeillés,abeillée,abeillées,,,,,
40,aberrant,aberrant,aberrants,aberrante,aberrantes,,,,,
41,abgal,,,,,abgal,abgals,,,
42,abhorrable,,,,,abhorrable,abhorrables,,,
43,abhorré,abhorré,abhorrés,abhorrée,abhorrées,,,,,
44,abimé,abimé,abimés,abimée,abimées,,,,,
45,abiotique,,,,,abiotique,abiotiques,,,
46,abiétin,abiétin,abiétins,abiétine,abiétines,,,,,
47,abiétiné,abiétiné,abiétinés,abiétinée,abiétinées,,,,,
48,abiétique,,,,,abiétique,abiétiques,,,
49,abiétoformophénolique,,,,,abiétoformophénolique,abiétoformophénoliques,,,
50,abiétoglycérophtalique,,,,,abiétoglycérophtalique,abiétoglycérophtaliques,,,
51,abiétomaléique,,,,,abiétomaléique,abiétomaléiques,,,
52,abject,abject,abjects,abjecte,abjectes,,,,,
53,abjurant,abjurant,abjurants,abjurante,abjurantes,,,,,
54,abjurateur,abjurateur,abjurateurs,abjuratrice,abjuratrices,,,,,
55,abjuratoire,,,,,abjuratoire,abjuratoires,,,
56,abkhaze,,,,,abkhaze,abkhazes,,,
57,ablatif,ablatif,ablatifs,ablative,ablatives,,,,,
58,abluant,abluant,abluants,abluante,abluantes,,,,,
59,ablépharoplastique,,,,,ablépharoplastique,ablépharoplastiques,,,
60,aboli,aboli,abolis,abolie,abolies,,,,,
61,abolissable,,,,,abolissable,abolissables,,,
62,abolitif,abolitif,abolitifs,abolitive,abolitives,,,,,
63,abolitionniste,,,,,abolitionniste,abolitionnistes,,,
64,abominable,,,,,abominable,abominables,,,
65,abondanciste,,,,,abondanciste,abondancistes,,,
66,abondant,abondant,abondants,abondante,abondantes,,,,,
67,abondé,abondé,abondés,abondée,abondées,,,,,
68,abonnable,,,,,abonnable,abonnables,,,
69,abonnataire,,,,,abonnataire,abonnataires,,,
70,abonni,abonni,abonnis,abonnie,abonnies,,,,,
71,abonné,abonné,abonnés,abonnée,abonnées,,,,,
72,aboral,aboral,aboraux,aborale,aborales,,,,,
73,abordable,,,,,abordable,abordables,,,
74,abordeur,abordeur,abordeurs,,,,,,,
75,abordé,abordé,abordés,abordée,abordées,,,,,
76,aborigène,,,,,aborigène,aborigènes,,,
77,aborné,aborné,abornés,abornée,abornées,,,,,
78,abortif,abortif,abortifs,abortive,abortives,,,,,
79,aborto-préventif,aborto-préventif,,,,,,,,
80,abotté,abotté,abottés,abottée,abottées,,,,,
81,aboté,aboté,abotés,abotée,abotées,,,,,
82,abougri,abougri,abougris,abougrie,abougries,,,,,
83,aboulique,,,,,aboulique,abouliques,,,
84,abouti,abouti,aboutis,aboutie,abouties,,,,,
85,aboutissant,aboutissant,aboutissants,aboutissante,aboutissantes,,,,,
86,abouté,abouté,aboutés,aboutée,aboutées,,,,,
87,aboyant,aboyant,aboyants,aboyante,aboyantes,,,,,
88,aboyeur,aboyeur,aboyeurs,aboyeuse,aboyeuses,,,,,
89,aboyé,aboyé,aboyés,aboyée,aboyées,,,,,
90,abracadabrant,abracadabrant,abracadabrants,abracadabrante,abracadabrantes,,,,,
91,abracadabrantesque,,,,,abracadabrantesque,abracadabrantesques,,,
92,abranche,,,,,abranche,abranches,,,
93,abrasif,abrasif,abrasifs,abrasive,abrasives,,,,,
94,abreuvé,abreuvé,abreuvés,abreuvée,abreuvées,,,,,
95,abricot,,,,,,,,abricot,
96,abricoté,abricoté,abricotés,abricotée,abricotées,,,,,
97,abritant,abritant,abritants,abritante,abritantes,,,,,
98,abrité,abrité,abrités,abritée,abritées,,,,,
99,abrogatif,abrogatif,abrogatifs,abrogative,abrogatives,,,,,
100,abrogatoire,,,,,abrogatoire,abrogatoires,,,
101,abrogeable,,,,,abrogeable,abrogeables,,,
102,abrogé,abrogé,abrogés,abrogée,abrogées,,,,,
103,abrotonoïde,,,,,abrotonoïde,abrotonoïdes,,,
104,abrouti,abrouti,abroutis,abroutie,abrouties,,,,,
105,abrupt,abrupt,abrupts,abrupte,abruptes,,,,,
106,abruptipenné,abruptipenné,abruptipennés,abruptipennée,abruptipennées,,,,,
107,abruti,abruti,abrutis,abrutie,abruties,,,,,
108,abrutissant,abrutissant,abrutissants,abrutissante,abrutissantes,,,,,
109,abrutisseur,abrutisseur,abrutisseurs,abrutisseuse,abrutisseuses,,,,,
110,abruzzain,abruzzain,abruzzains,abruzzaine,abruzzaines,,,,,
111,abruzzais,abruzzais,,abruzzaise,,,abruzzaises,,,
112,abrégeable,,,,,abrégeable,abrégeables,,,
113,abrégé,abrégé,abrégés,abrégée,abrégées,,,,,
114,abréviateur,abréviateur,abréviateurs,abréviatrice,abréviatrices,,,,,
115,abréviatif,abréviatif,abréviatifs,abréviative,abréviatives,,,,,
116,abrévié,abrévié,abréviés,abréviée,abréviées,,,,,
117,absalonien,absalonien,absaloniens,absalonienne,absaloniennes,,,,,
118,abscissique,,,,,abscissique,abscissiques,,,
119,abscons,,,absconse,absconses,,,abscons,,
120,absent,absent,absents,absente,absentes,,,,,
121,absentéiste,,,,,absentéiste,absentéistes,,,
122,absidal,absidal,absidaux,absidale,absidales,,,,,
123,absidial,absidial,absidiaux,absidiale,absidiales,,,,,
124,absinthique,,,,,absinthique,absinthiques,,,
125,absinthé,absinthé,absinthés,absinthée,absinthées,,,,,
126,absolu,absolu,absolus,absolue,absolues,,,,,
127,absoluteur,absoluteur,absoluteurs,absolutrice,absolutrices,,,,,
128,absolutif,absolutif,absolutifs,absolutive,absolutives,,,,,
129,absolutionnel,absolutionnel,absolutionnels,absolutionnelle,absolutionnelles,,,,,
130,absolutiste,,,,,absolutiste,absolutistes,,,
131,absolutoire,,,,,absolutoire,absolutoires,,,
132,absolvant,absolvant,absolvants,absolvante,absolvantes,,,,,
133,absorbable,,,,,absorbable,absorbables,,,
134,absorbant,absorbant,absorbants,absorbante,absorbantes,,,,,
135,absorbeur,absorbeur,absorbeurs,absorbeuse,absorbeuses,,,,,
136,absorbé,absorbé,absorbés,absorbée,absorbées,,,,,
137,absorptif,absorptif,absorptifs,absorptive,absorptives,,,,,
138,absout,absout,absouts,absoute,absoutes,,,,,
139,abstentionniste,,,,,abstentionniste,abstentionnistes,,,
140,abstergent,abstergent,abstergents,abstergente,abstergentes,,,,,
141,abstersif,abstersif,abstersifs,abstersive,abstersives,,,,,
142,abstinent,abstinent,abstinents,abstinente,abstinentes,,,,,
143,abstracteur,abstracteur,abstracteurs,abstractrice,abstractrices,,,,,
144,abstractif,abstractif,abstractifs,abstractive,abstractives,,,,,
145,abstractionniste,,,,,abstractionniste,abstractionnistes,,,
146,abstrait,abstrait,abstraits,abstraite,abstraites,,,,,
147,abstrayant,abstrayant,abstrayants,abstrayante,abstrayantes,,,,,
148,abstrus,,,abstruse,abstruses,,,abstrus,,
149,abstème,,,,,abstème,abstèmes,,,
150,absurde,,,,,absurde,absurdes,,,
151,absurdifiant,absurdifiant,absurdifiants,absurdifiante,absurdifiantes,,,,,
152,absurdiste,,,,,absurdiste,absurdistes,,,
153,abusant,abusant,abusants,abusante,abusantes,,,,,
154,abusif,abusif,abusifs,abusive,abusives,,,,,
155,abusé,abusé,abusés,abusée,abusées,,,,,
156,abyssal,abyssal,abyssaux,abyssale,abyssales,,,,,
157,abyssin,abyssin,abyssins,abyssine,abyssines,,,,,
158,abyssinien,abyssinien,abyssiniens,abyssinienne,abyssiniennes,,,,,
159,abyssinique,,,,,abyssinique,abyssiniques,,,
160,abyssique,,,,,abyssique,abyssiques,,,
161,abyssopélagique,,,,,abyssopélagique,abyssopélagiques,,,
162,abâtardi,abâtardi,abâtardis,abâtardie,abâtardies,,,,,
163,abécédaire,,,,,abécédaire,abécédaires,,,
164,abélianisé,abélianisé,abélianisés,abélianisée,abélianisées,,,,,
165,abélien,abélien,abéliens,abélienne,abéliennes,,,,,
166,abêti,abêti,abêtis,abêtie,abêties,,,,,
167,abêtifié,abêtifié,abêtifiés,abêtifiée,abêtifiées,,,,,
168,abêtissant,abêtissant,abêtissants,abêtissante,abêtissantes,,,,,
169,abîmant,abîmant,abîmants,abîmante,abîmantes,,,,,
170,abîmé,abîmé,abîmés,abîmée,abîmées,,,,,
171,acacien,acacien,acaciens,,,,,,,
172,academicus,,,,,,,academicus,,
173,acadien,acadien,acadiens,acadienne,acadiennes,,,,,
174,académicien,académicien,académiciens,académicienne,académiciennes,,,,,
175,académique,,,,,académique,académiques,,,
176,académisable,,,,,académisable,académisables,,,
177,acagnardi,acagnardi,acagnardis,acagnardie,acagnardies,,,,,
178,acagnardé,acagnardé,acagnardés,acagnardée,acagnardées,,,,,
179,acajou,,,,,,,,acajou,
180,acalculique,,,,,acalculique,acalculiques,,,
181,acalifourchonné,acalifourchonné,acalifourchonnés,acalifourchonnée,acalifourchonnées,,,,,
182,acalorique,,,,,acalorique,acaloriques,,,
183,acamandé,acamandé,acamandés,acamandée,acamandées,,,,,
184,acanthacé,acanthacé,acanthacés,acanthacée,acanthacées,,,,,
185,acanthope,acanthope,,,,,,,,
186,acanthophile,acanthophile,,,,,,,,
187,acardiaque,,,,,acardiaque,acardiaques,,,
188,acaricide,,,,,acaricide,acaricides,,,
189,acaride,,,,,acaride,acarides,,,
190,acarien,acarien,acariens,acarienne,acariennes,,,,,
191,acariforme,,,,,acariforme,acariformes,,,
192,acariâtre,,,,,acariâtre,acariâtres,,,
193,acarnanien,acarnanien,acarnaniens,acarnanienne,acarnaniennes,,,,,
194,acarpe,,,,,acarpe,acarpes,,,
195,acarpellé,acarpellé,acarpellés,acarpellée,acarpellées,,,,,
196,acatalecte,,,,,acatalecte,acatalectes,,,
197,acatalectique,,,,,acatalectique,acatalectiques,,,
198,acataleptique,,,,,acataleptique,acataleptiques,,,
199,acathiste,,,,,acathiste,acathistes,,,
200,acatène,,,,,acatène,acatènes,,,
201,acaude,,,,,acaude,acaudes,,,
202,acaudé,acaudé,acaudés,acaudée,acaudées,,,,,
203,acaule,,,,,acaule,acaules,,,
204,acausal,acausal,acausaux,acausale,acausales,,,,,
205,accablant,accablant,accablants,accablante,accablantes,,,,,
206,accablé,accablé,accablés,accablée,accablées,,,,,
207,accade,,,,,accade,accades,,,
208,accadien,accadien,accadiens,accadienne,accadiennes,,,,,
209,accalminé,accalminé,accalminés,accalminée,accalminées,,,,,
210,accaparant,accaparant,accaparants,accaparante,accaparantes,,,,,
211,accaparateur,accaparateur,accaparateurs,accaparatrice,accaparatrices,,,,,
212,accapareur,accapareur,accapareurs,accapareuse,accapareuses,,,,,
213,accaparé,accaparé,accaparés,accaparée,accaparées,,,,,
214,accastillant,accastillant,accastillants,accastillante,accastillantes,,,,,
215,accastillé,accastillé,accastillés,accastillée,accastillées,,,,,
216,accentuable,,,,,accentuable,accentuables,,,
217,accentuel,accentuel,accentuels,accentuelle,accentuelles,,,,,
218,accentué,accentué,accentués,accentuée,accentuées,,,,,
219,acceptable,,,,,acceptable,acceptables,,,
220,acceptant,acceptant,acceptants,acceptante,acceptantes,,,,,
221,acceptatif,acceptatif,acceptatifs,acceptative,acceptatives,,,,,
222,accepteur,accepteur,accepteurs,acceptrice,acceptrices,,,,,
223,accepté,accepté,acceptés,acceptée,acceptées,,,,,
224,accessible,,,,,accessible,accessibles,,,
225,accessoire,,,,,accessoire,accessoires,,,
226,accessoiriste,,,,,accessoiriste,accessoiristes,,,
227,accessoirisé,accessoirisé,accessoirisés,accessoirisée,accessoirisées,,,,,
228,accidentel,accidentel,accidentels,accidentelle,accidentelles,,,,,
229,accidentogène,,,,,accidentogène,accidentogènes,,,
230,accidentologique,,,,,accidentologique,accidentologiques,,,
231,accidenté,accidenté,accidentés,accidentée,accidentées,,,,,
232,accipitrin,accipitrin,accipitrins,accipitrine,accipitrines,,,,,
233,accitain,accitain,accitains,accitaine,accitaines,,,,,
234,accitanien,accitanien,accitaniens,accitanienne,accitaniennes,,,,,
235,acclamant,acclamant,acclamants,acclamante,acclamantes,,,,,
236,acclamateur,acclamateur,acclamateurs,acclamatrice,acclamatrices,,,,,
237,acclamé,acclamé,acclamés,acclamée,acclamées,,,,,
238,acclimatable,,,,,acclimatable,acclimatables,,,
239,acclimaté,acclimaté,acclimatés,acclimatée,acclimatées,,,,,
240,accointable,,,,,accointable,accointables,,,
241,accolé,accolé,accolés,accolée,accolées,,,,,
242,accombant,accombant,accombants,accombante,accombantes,,,,,
243,accommodable,,,,,accommodable,accommodables,,,
244,accommodant,accommodant,accommodants,accommodante,accommodantes,,,,,
245,accommodateur,accommodateur,accommodateurs,accommodatrice,accommodatrices,,,,,
246,accommodatice,,,,,accommodatice,accommodatices,,,
247,accommodatif,accommodatif,accommodatifs,accommodative,accommodatives,,,,,
248,accommodé,accommodé,accommodés,accommodée,accommodées,,,,,
249,accompagnant,accompagnant,accompagnants,accompagnante,accompagnantes,,,,,
250,accompagnateur,accompagnateur,accompagnateurs,accompagnatrice,accompagnatrices,,,,,
251,accompagné,accompagné,accompagnés,accompagnée,accompagnées,,,,,
252,accompli,accompli,accomplis,accomplie,accomplies,,,,,
253,accordable,,,,,accordable,accordables,,,
254,accordant,accordant,accordants,accordante,accordantes,,,,,
255,accordé,accordé,accordés,accordée,accordées,,,,,
256,accore,,,,,accore,accores,,,
257,accorné,accorné,accornés,accornée,accornées,,,,,
258,accort,accort,accorts,accorte,accortes,,,,,
259,accostable,,,,,accostable,accostables,,,
260,accostant,accostant,accostants,accostante,accostantes,,,,,
261,accosté,accosté,accostés,accostée,accostées,,,,,
262,accoté,accoté,accotés,accotée,accotées,,,,,
263,accoucheur,accoucheur,accoucheurs,accoucheuse,accoucheuses,,,,,
264,accoudé,accoudé,accoudés,accoudée,accoudées,,,,,
265,accouplé,accouplé,accouplés,accouplée,accouplées,,,,,
266,accourci,accourci,accourcis,accourcie,accourcies,,,,,
267,accoutré,accoutré,accoutrés,accoutrée,accoutrées,,,,,
268,accoutumé,accoutumé,accoutumés,accoutumée,accoutumées,,,,,
269,accouvi,accouvi,accouvis,accouvie,accouvies,,,,,
270,accouvillonné,accouvillonné,accouvillonnés,accouvillonnée,accouvillonnées,,,,,
271,accouvé,accouvé,accouvés,accouvée,accouvées,,,,,
272,accrescent,accrescent,accrescents,accrescente,accrescentes,,,,,
273,accro,,,,,accro,accros,,,
274,accrochable,,,,,accrochable,accrochables,,,
275,accrocheur,accrocheur,accrocheurs,accrocheuse,accrocheuses,,,,,
276,accroché,accroché,accrochés,accrochée,accrochées,,,,,
277,accroupi,accroupi,accroupis,accroupie,accroupies,,,,,
278,accroïde,,,,,accroïde,accroïdes,,,
279,accru,accru,accrus,accrue,accrues,,,,,
280,accréditaire,,,,,accréditaire,accréditaires,,,
281,accréditant,accréditant,accréditants,accréditante,accréditantes,,,,,
282,accréditif,accréditif,accréditifs,accréditive,accréditives,,,,,
283,accrédité,accrédité,accrédités,accréditée,accréditées,,,,,
284,accrémentitiel,accrémentitiel,accrémentitiels,accrémentitielle,accrémentitielles,,,,,
285,accrété,accrété,accrétés,accrétée,accrétées,,,,,
286,accrêté,accrêté,accrêtés,accrêtée,accrêtées,,,,,
287,accueillant,accueillant,accueillants,accueillante,accueillantes,,,,,
288,accueilli,accueilli,accueillis,accueillie,accueillies,,,,,
289,acculturatif,acculturatif,acculturatifs,acculturative,acculturatives,,,,,
290,acculturé,acculturé,acculturés,acculturée,acculturées,,,,,
291,acculé,acculé,acculés,acculée,acculées,,,,,
292,accumulateur,accumulateur,accumulateurs,accumulatrice,accumulatrices,,,,,
293,accumulatif,accumulatif,accumulatifs,accumulative,accumulatives,,,,,
294,accumulé,accumulé,accumulés,accumulée,accumulées,,,,,
295,accurvé,accurvé,accurvés,accurvée,accurvées,,,,,
296,accusable,,,,,accusable,accusables,,,
297,accusataire,,,,,accusataire,accusataires,,,
298,accusateur,accusateur,accusateurs,accusatrice,accusatrices,,,,,
299,accusatif,accusatif,accusatifs,accusative,accusatives,,,,,
300,accusatoire,,,,,accusatoire,accusatoires,,,
301,accusé,accusé,accusés,accusée,accusées,,,,,
302,accédé,accédé,accédés,accédée,accédées,,,,,
303,accélérant,accélérant,accélérants,accélérante,accélérantes,,,,,
304,accélérateur,accélérateur,accélérateurs,accélératrice,accélératrices,,,,,
305,accélératif,accélératif,accélératifs,accélérative,accélératives,,,,,
306,accélératoire,,,,,accélératoire,accélératoires,,,
307,accéléré,accéléré,accélérés,accélérée,accélérées,,,,,
308,acellulaire,,,,,acellulaire,acellulaires,,,
309,acentrique,,,,,acentrique,acentriques,,,
310,acerbe,,,,,acerbe,acerbes,,,
311,acersocome,,,,,acersocome,acersocomes,,,
312,acersécome,,,,,acersécome,acersécomes,,,
313,acertainé,acertainé,acertainés,acertainée,acertainées,,,,,
314,acescent,acescent,acescents,acescente,acescentes,,,,,
315,achalandé,achalandé,achalandés,achalandée,achalandées,,,,,
316,achalant,achalant,achalants,achalante,achalantes,,,,,
317,acharite,,,,,acharite,acharites,,,
318,acharné,acharné,acharnés,acharnée,acharnées,,,,,
319,achaudi,achaudi,achaudis,achaudie,achaudies,,,,,
320,acheminable,,,,,acheminable,acheminables,,,
321,acheminé,acheminé,acheminés,acheminée,acheminées,,,,,
322,achenillé,achenillé,achenillés,achenillée,achenillées,,,,,
323,achetable,,,,,achetable,achetables,,,
324,acheteur,acheteur,acheteurs,acheteuse,acheteuses,,,,,
325,acheté,acheté,achetés,achetée,achetées,,,,,
326,acheuléen,acheuléen,acheuléens,acheuléenne,acheuléennes,,,,,
327,achevable,,,,,achevable,achevables,,,
328,achevant,achevant,achevants,achevante,achevantes,,,,,
329,achevé,achevé,achevés,achevée,achevées,,,,,
330,achilléen,achilléen,achilléens,achilléenne,achilléennes,,,,,
331,achilléoïde,,,,,achilléoïde,achilléoïdes,,,
332,achiral,achiral,achiraux,achirale,achirales,,,,,
333,achkenaze,achkenaze,,,,,,,,
334,achkénaze,achkénaze,,,,,,,,
335,achkénaze,achkénaze,,,,,,,,
336,achloruré,achloruré,achlorurés,achlorurée,achlorurées,,,,,
337,acholique,,,,,acholique,acholiques,,,
338,acholurique,,,,,acholurique,acholuriques,,,
339,achondroplase,,,,,achondroplase,achondroplases,,,
340,achondroplasique,,,,,achondroplasique,achondroplasiques,,,
341,achromateux,achromateux,,achromateuse,,,achromateuses,,,
342,achromatique,,,,,achromatique,achromatiques,,,
343,achromatisé,achromatisé,achromatisés,achromatisée,achromatisées,,,,,
344,achromatope,,,,,achromatope,achromatopes,,,
345,achromatopsique,,,,,achromatopsique,achromatopsiques,,,
346,achrome,,,,,achrome,achromes,,,
347,achromique,,,,,achromique,achromiques,,,
348,achronique,,,,,achronique,achroniques,,,
349,achronizoïque,,,,,achronizoïque,achronizoïques,,,
350,achéen,achéen,achéens,achéenne,achéennes,,,,,
351,achéménide,,,,,achéménide,achéménides,,,
352,achérontique,,,,,achérontique,achérontiques,,,
353,acicole,,,,,acicole,acicoles,,,
354,aciculaire,,,,,aciculaire,aciculaires,,,
355,aciculiforme,,,,,aciculiforme,aciculiformes,,,
356,aciculé,aciculé,aciculés,aciculée,aciculées,,,,,
357,acide,,,,,acide,acides,,,
358,acidifiable,,,,,acidifiable,acidifiables,,,
359,acidifiant,acidifiant,acidifiants,acidifiante,acidifiantes,,,,,
360,acidifié,acidifié,acidifiés,acidifiée,acidifiées,,,,,
361,acidifère,,,,,acidifère,acidifères,,,
362,acidimétrique,,,,,acidimétrique,acidimétriques,,,
363,acidiphile,,,,,acidiphile,acidiphiles,,,
364,acido-basique,,,,,acido-basique,,,,
365,acido-résistant,acido-résistant,,,,,,,,
366,acidocétosique,,,,,acidocétosique,acidocétosiques,,,
367,acidogène,acidogène,,,,,,,,
368,acidophile,,,,,acidophile,acidophiles,,,
369,acidosique,,,,,acidosique,acidosiques,,,
370,acidote,,,,,acidote,acidotes,,,
371,acidoïde,,,,,acidoïde,acidoïdes,,,
372,acidule,,,,,acidule,acidules,,,
373,acidulé,acidulé,acidulés,acidulée,acidulées,,,,,
374,acidylé,acidylé,acidylés,acidylée,acidylées,,,,,
375,aciforme,,,,,aciforme,aciformes,,,
376,acinacifolié,acinacifolié,acinacifoliés,acinacifoliée,acinacifoliées,,,,,
377,acinaciforme,,,,,acinaciforme,acinaciformes,,,
378,acinacé,acinacé,acinacés,acinacée,acinacées,,,,,
379,acinaire,,,,,acinaire,acinaires,,,
380,acineux,,,acineuse,acineuses,,,acineux,,
381,acinien,acinien,aciniens,acinienne,aciniennes,,,,,
382,aciniforme,,,,,aciniforme,aciniformes,,,
383,acinodendre,,,,,acinodendre,acinodendres,,,
384,acinétique,,,,,acinétique,acinétiques,,,
385,aciphylle,aciphylle,,,,,,,,
386,aciéreux,,,aciéreuse,aciéreuses,,,aciéreux,,
387,aciéré,aciéré,aciérés,aciérée,aciérées,,,,,
388,aclinal,aclinal,aclinals,aclinale,aclinales,,,,,
389,aclinique,,,,,aclinique,acliniques,,,
390,acléidien,acléidien,acléidiens,acléidienne,acléidiennes,,,,,
391,acmastique,,,,,acmastique,acmastiques,,,
392,acméiste,,,,,acméiste,acméistes,,,
393,acnodal,acnodal,acnodals,acnodale,acnodales,,,,,
394,acnéiforme,,,,,acnéiforme,acnéiformes,,,
395,acnéique,,,,,acnéique,acnéiques,,,
396,aconitique,,,,,aconitique,aconitiques,,,
397,acoquinant,acoquinant,acoquinants,acoquinante,acoquinantes,,,,,
398,acoquiné,acoquiné,acoquinés,acoquinée,acoquinées,,,,,
399,acoriné,acoriné,acorinés,acorinée,acorinées,,,,,
400,acosmique,,,,,acosmique,acosmiques,,,
401,acotylé,acotylé,acotylés,acotylée,acotylées,,,,,
402,acotylédon,acotylédon,acotylédons,acotylédone,acotylédones,,,,,
403,acotylédone,,,,,acotylédone,acotylédones,,,
404,acotylédoné,acotylédoné,acotylédonés,acotylédonée,acotylédonées,,,,,
405,acoumétrique,,,,,acoumétrique,acoumétriques,,,
406,acousmatique,,,,,acousmatique,acousmatiques,,,
407,acoustique,,,,,acoustique,acoustiques,,,
408,acquiesçant,acquiesçant,acquiesçants,acquiesçante,acquiesçantes,,,,,
409,acquis,,,acquise,acquises,,,acquis,,
410,acquisitif,acquisitif,acquisitifs,acquisitive,acquisitives,,,,,
411,acquittable,,,,,acquittable,acquittables,,,
412,acquitté,acquitté,acquittés,acquittée,acquittées,,,,,
413,acquérant,acquérant,acquérants,acquérante,acquérantes,,,,,
414,acquéreur,acquéreur,acquéreurs,acquéreuse,acquéreuses,,,,,
415,acraspède,,,,,acraspède,acraspèdes,,,
416,acrididé,acrididé,acrididés,acrididée,acrididées,,,,,
417,acridien,acridien,acridiens,acridienne,acridiennes,,,,,
418,acridinique,,,,,acridinique,acridiniques,,,
419,acridophage,,,,,acridophage,acridophages,,,
420,acridé,acridé,acridés,acridée,acridées,,,,,
421,acrimonieux,,,acrimonieuse,acrimonieuses,,,acrimonieux,,
422,acritique,,,,,acritique,acritiques,,,
423,acroamatique,,,,,acroamatique,acroamatiques,,,
424,acroatique,,,,,acroatique,acroatiques,,,
425,acrobatique,,,,,acrobatique,acrobatiques,,,
426,acrocarpe,,,,,acrocarpe,acrocarpes,,,
427,acrocarpes,acrocarpes,,,,,,,,
428,acrocentrique,,,,,acrocentrique,acrocentriques,,,
429,acrocéphale,,,,,acrocéphale,acrocéphales,,,
430,acrocéphalique,,,,,acrocéphalique,acrocéphaliques,,,
431,acrocéraunien,acrocéraunien,acrocérauniens,acrocéraunienne,acrocérauniennes,,,,,
432,acrodonte,,,,,acrodonte,acrodontes,,,
433,acrofacial,acrofacial,acrofaciaux,acrofaciale,acrofaciales,,,,,
434,acrogyne,acrogyne,,,,,,,,
435,acrogène,,,,,acrogène,acrogènes,,,
436,acrolithe,,,,,acrolithe,acrolithes,,,
437,acromial,acromial,acromiaux,acromiale,acromiales,,,,,
438,acromien,acromien,acromiens,acromienne,acromiennes,,,,,
439,acromégale,,,,,acromégale,acromégales,,,
440,acromégalique,,,,,acromégalique,acromégaliques,,,
441,acromégaloïde,,,,,acromégaloïde,acromégaloïdes,,,
442,acromésomélique,,,,,acromésomélique,acromésoméliques,,,
443,acronal,acronal,acronaux,acronale,acronales,,,,,
444,acronymique,,,,,acronymique,acronymiques,,,
445,acronyque,,,,,acronyque,acronyques,,,
446,acroplaste,acroplaste,,,,,,,,
447,acropolien,acropolien,acropoliens,acropolienne,acropoliennes,,,,,
448,acropolite,,,,,acropolite,acropolites,,,
449,acropète,,,,,acropète,acropètes,,,
450,acrosarque,acrosarque,,,,,,,,
451,acrosomique,,,,,acrosomique,acrosomiques,,,
452,acrosporé,acrosporé,,,,,,,,
453,acrostiche,,,,,acrostiche,acrostiches,,,
454,acrothrophique,acrothrophique,,,,,,,,
455,acrotone,,,,,acrotone,acrotones,,,
456,acrylique,,,,,acrylique,acryliques,,,
457,actanciel,actanciel,actanciels,actancielle,actancielles,,,,,
458,actantiel,actantiel,actantiels,actantielle,actantielles,,,,,
459,acteur,acteur,acteurs,actrice,actrices,,,,,
460,actiaque,,,,,actiaque,actiaques,,,
461,actien,actien,actiens,actienne,actiennes,,,,,
462,actif,actif,actifs,active,actives,,,,,
463,actilisé,actilisé,,,,,,,,
464,actiniaire,,,,,actiniaire,actiniaires,,,
