"Word","lemme","cgram","freqlemlivres"
"garçons","garçon","NOM","262.5"
"envie","envie","NOM","258.11"
"envies","envie","NOM","258.11"
"mer","mer","NOM","257.57"
"mers","mer","NOM","257.57"
"doigt","doigt","NOM","256.15"
"doigts","doigt","NOM","256.15"
"milieu","milieu","NOM","256.08"
"milieux","milieu","NOM","256.08"
"lettre","lettre","NOM","256.01"
"lettres","lettre","NOM","256.01"
"affaire","affaire","NOM","253.38"
"affaires","affaire","NOM","253.38"
"fils","fils","NOM","247.64"
"travers","travers","NOM","247.64"
"pays","pays","NOM","241.55"
"général","général","NOM","236.89"
"générale","général","NOM","236.89"
"générales","général","NOM","236.89"
"généraux","général","NOM","236.89"
"feu","feu","NOM","236.15"
"feux","feu","NOM","236.15"
"ordre","ordre","NOM","235.34"
"ordres","ordre","NOM","235.34"
"plaisir","plaisir","NOM","233.85"
"plaisirs","plaisir","NOM","233.85"
"ombre","ombre","NOM","233.45"
"ombres","ombre","NOM","233.45"
"chemin","chemin","NOM","231.42"
"chemins","chemin","NOM","231.42"
"verre","verre","NOM","230.07"
"verres","verre","NOM","230.07"
"bord","bord","NOM","228.11"
"bords","bord","NOM","228.11"
"lèvre","lèvre","NOM","222.03"
"lèvres","lèvre","NOM","222.03"
"jambe","jambe","NOM","220.95"
"jambes","jambe","NOM","220.95"
"vent","vent","NOM","220.27"
"vents","vent","NOM","220.27"
"état","état","NOM","218.18"
"états","état","NOM","218.18"
"sens","sens","NOM","217.5"
"âge","âge","NOM","217.43"
"âges","âge","NOM","217.43"
"cas","cas","NOM","217.36"
"frère","frère","NOM","216.35"
"frères","frère","NOM","216.35"
"esprit","esprit","NOM","216.28"
"esprits","esprit","NOM","216.28"
"salle","salle","NOM","215.81"
"salles","salle","NOM","215.81"
"sourire","sourire","NOM","215.34"
"sourires","sourire","NOM","215.34"
"dos","dos","NOM","213.99"
"partie","partie","NOM","211.49"
"parties","partie","NOM","211.49"
"personne","personne","NOM","209.8"
"personnes","personne","NOM","209.8"
"arbre","arbre","NOM","208.58"
"arbres","arbre","NOM","208.58"
"compte","compte","NOM","208.38"
"comptes","compte","NOM","208.38"
"sang","sang","NOM","207.3"
"sangs","sang","NOM","207.3"
"chef","chef","NOM","205.95"
"chefs","chef","NOM","205.95"
"madame","madame","NOM","203.45"
"mesdames","madame","NOM","203.45"
"papier","papier","NOM","203.11"
"papiers","papier","NOM","203.11"
"minute","minute","NOM","201.42"
"minutes","minute","NOM","201.42"
"coin","coin","NOM","199.26"
"coins","coin","NOM","199.26"
"couleur","couleur","NOM","198.72"
"couleurs","couleur","NOM","198.72"
"journal","journal","NOM","197.7"
"journaux","journal","NOM","197.7"
"semaine","semaine","NOM","197.5"
"semaines","semaine","NOM","197.5"
"cause","cause","NOM","197.3"
"causes","cause","NOM","197.3"
"souvenir","souvenir","NOM","197.03"
"souvenirs","souvenir","NOM","197.03"
"odeur","odeur","NOM","195.68"
"odeurs","odeur","NOM","195.68"
"argent","argent","NOM","194.39"
"argents","argent","NOM","194.39"
"oreille","oreille","NOM","194.12"
"oreilles","oreille","NOM","194.12"
"mal","mal","NOM","193.92"
"maux","mal","NOM","193.92"
"effet","effet","NOM","192.36"
"effets","effet","NOM","192.36"
"pierre","pierre","NOM","189.86"
"pierres","pierre","NOM","189.86"
"image","image","NOM","188.92"
"images","image","NOM","188.92"
"peau","peau","NOM","187.77"
"peaux","peau","NOM","187.77"
"jardin","jardin","NOM","185.81"
"jardins","jardin","NOM","185.81"
"vieille","vieux","NOM","185.81"
"vieilles","vieux","NOM","185.81"
"vieux","vieux","NOM","185.81"
"chien","chien","NOM","184.59"
"chienne","chien","NOM","184.59"
"chiennes","chien","NOM","184.59"
"chiens","chien","NOM","184.59"
"type","type","NOM","184.19"
"types","type","NOM","184.19"
"mouvement","mouvement","NOM","182.97"
"mouvements","mouvement","NOM","182.97"
"journée","journée","NOM","179.39"
"journées","journée","NOM","179.39"
"cheval","cheval","NOM","179.26"
"chevaux","cheval","NOM","179.26"
"parole","parole","NOM","178.31"
"paroles","parole","NOM","178.31"
"nez","nez","NOM","177.64"
"café","café","NOM","177.3"
"cafés","café","NOM","177.3"
"cours","cours","NOM","176.76"
"forme","forme","NOM","176.69"
"formes","forme","NOM","176.69"
"sac","sac","NOM","174.26"
"sacs","sac","NOM","174.26"
"premier","premier","NOM","173.92"
"premiers","premier","NOM","173.92"
"première","premier","NOM","173.92"
"premières","premier","NOM","173.92"
"jeu","jeu","NOM","173.31"
"jeux","jeu","NOM","173.31"
"long","long","NOM","171.35"
"longs","long","NOM","171.35"
"petit","petit","NOM","169.66"
"petite","petit","NOM","169.66"
"petites","petit","NOM","169.66"
"petits","petit","NOM","169.66"
"reste","reste","NOM","168.58"
"restes","reste","NOM","168.58"
"français","français","NOM","164.59"
"française","français","NOM","164.59"
"françaises","français","NOM","164.59"
"fleur","fleur","NOM","164.39"
"fleurs","fleur","NOM","164.39"
"droit","droit","NOM","163.72"
"droits","droit","NOM","163.72"
"bonheur","bonheur","NOM","162.36"
"bonheurs","bonheur","NOM","162.36"
"ligne","ligne","NOM","162.3"
"lignes","ligne","NOM","162.3"
"signe","signe","NOM","161.28"
"signes","signe","NOM","161.28"
"soeur","soeur","NOM","161.01"
"soeurs","soeur","NOM","161.01"
"front","front","NOM","159.12"
"fronts","front","NOM","159.12"
"hôtel","hôtel","NOM","158.92"
"hôtels","hôtel","NOM","158.92"
"retour","retour","NOM","158.65"
"retours","retour","NOM","158.65"
"genre","genre","NOM","157.91"
"genres","genre","NOM","157.91"
"manière","manière","NOM","157.77"
"manières","manière","NOM","157.77"
"sentiment","sentiment","NOM","157.3"
"sentiments","sentiment","NOM","157.3"
"rire","rire","NOM","155.47"
"rires","rire","NOM","155.47"
"cri","cri","NOM","155.41"
"cris","cri","NOM","155.41"
"impression","impression","NOM","155.27"
"impressions","impression","NOM","155.27"
"habitude","habitude","NOM","154.46"
"habitudes","habitude","NOM","154.46"
"passage","passage","NOM","154.39"
"passages","passage","NOM","154.39"
"marche","marche","NOM","152.97"
"marches","marche","NOM","152.97"
"âme","âme","NOM","151.62"
"âmes","âme","NOM","151.62"
"pensée","pensée","NOM","151.55"
"pensées","pensée","NOM","151.55"
"maître","maître","NOM","151.49"
"maîtres","maître","NOM","151.49"
"dame","dame","NOM","151.35"
"dames","dame","NOM","151.35"
"sol","sol","NOM","150.34"
"sols","sol","NOM","150.34"
"joie","joie","NOM","150.2"
"joies","joie","NOM","150.2"
"cour","cour","NOM","150.14"
"bureau","bureau","NOM","150.07"
