"Word","lemme","cgram","freqlemlivres"
"léger","léger","ADJ","151.01"
"légers","léger","ADJ","151.01"
"légère","léger","ADJ","151.01"
"légères","léger","ADJ","151.01"
"pareil","pareil","ADJ","149.66"
"pareille","pareil","ADJ","149.66"
"pareilles","pareil","ADJ","149.66"
"pareils","pareil","ADJ","149.66"
"simple","simple","ADJ","148.58"
"simples","simple","ADJ","148.58"
"entier","entier","ADJ","147.91"
"entiers","entier","ADJ","147.91"
"entière","entier","ADJ","147.91"
"entières","entier","ADJ","147.91"
"vide","vide","ADJ","147.5"
"vides","vide","ADJ","147.5"
"dur","dur","ADJ","146.69"
"dure","dur","ADJ","146.69"
"dures","dur","ADJ","146.69"
"durs","dur","ADJ","146.69"
"lourd","lourd","ADJ","145.88"
"lourde","lourd","ADJ","145.88"
"lourdes","lourd","ADJ","145.88"
"lourds","lourd","ADJ","145.88"
"vert","vert","ADJ","145.14"
"verte","vert","ADJ","145.14"
"vertes","vert","ADJ","145.14"
"verts","vert","ADJ","145.14"
"douce","doux","ADJ","145.07"
"douces","doux","ADJ","145.07"
"doux","doux","ADJ","145.07"
"tes","tes","ADJ:pos","145"
"sec","sec","ADJ","142.84"
"secs","sec","ADJ","142.84"
"sèche","sec","ADJ","142.84"
"sèches","sec","ADJ","142.84"
"mille","mille","ADJ:num","142.09"
"fort","fort","ADJ","140.27"
"forte","fort","ADJ","140.27"
"fortes","fort","ADJ","140.27"
"forts","fort","ADJ","140.27"
"cent","cent","ADJ:num","135.41"
"cher","cher","ADJ","133.65"
"chers","cher","ADJ","133.65"
"chère","cher","ADJ","133.65"
"chères","cher","ADJ","133.65"
"ouvert","ouvert","ADJ","132.36"
"ouverte","ouvert","ADJ","132.36"
"ouvertes","ouvert","ADJ","132.36"
"ouverts","ouvert","ADJ","132.36"
"moindre","moindre","ADJ","130.27"
"moindres","moindre","ADJ","130.27"
"sombre","sombre","ADJ","125.74"
"sombres","sombre","ADJ","125.74"
"prêt","prêt","ADJ","121.28"
"prête","prêt","ADJ","121.28"
"prêtes","prêt","ADJ","121.28"
"prêts","prêt","ADJ","121.28"
"joli","joli","ADJ","120"
"jolie","joli","ADJ","120"
"jolies","joli","ADJ","120"
"jolis","joli","ADJ","120"
"énorme","énorme","ADJ","120"
"énormes","énorme","ADJ","120"
"d'autres","d'autres","ADJ:ind","119.73"
"telle","telle","ADJ:ind","118.58"
"difficile","difficile","ADJ","118.11"
"difficiles","difficile","ADJ","118.11"
"immobile","immobile","ADJ","116.42"
"immobiles","immobile","ADJ","116.42"
"tel","tel","ADJ:ind","115.74"
"chaud","chaud","ADJ","113.31"
"chaude","chaud","ADJ","113.31"
"chaudes","chaud","ADJ","113.31"
"chauds","chaud","ADJ","113.31"
"mort","mort","ADJ","113.18"
"morte","mort","ADJ","113.18"
"mortes","mort","ADJ","113.18"
