,Word,lemme,cgram,genre,freqlemlivres
189,particuliers,particulier,ADJ,m,53.99
191,brillant,brillant,ADJ,m,53.31
192,brillants,brillant,ADJ,m,53.31
196,désert,désert,ADJ,m,52.57
197,déserts,désert,ADJ,m,52.57
198,fait,fait,ADJ,m,51.76
199,faits,fait,ADJ,m,51.76
200,violent,violent,ADJ,m,51.49
201,violents,violent,ADJ,m,51.49
202,vieil,vieil,ADJ,m,51.22
203,suivant,suivant,ADJ,m,51.08
204,suivants,suivant,ADJ,m,51.08
205,sourd,sourd,ADJ,m,50.68
206,sourds,sourd,ADJ,m,50.68
207,intérieur,intérieur,ADJ,m,50.61
208,intérieurs,intérieur,ADJ,m,50.61
209,doré,doré,ADJ,m,50.47
210,dorés,doré,ADJ,m,50.47
211,personnel,personnel,ADJ,m,50.0
212,personnels,personnel,ADJ,m,50.0
213,social,social,ADJ,m,49.8
215,voisin,voisin,ADJ,m,49.73
216,voisins,voisin,ADJ,m,49.73
218,familier,familier,ADJ,m,47.91
219,familiers,familier,ADJ,m,47.91
220,puissant,puissant,ADJ,m,47.7
221,puissants,puissant,ADJ,m,47.7
223,supérieur,supérieur,ADJ,m,46.69
224,supérieurs,supérieur,ADJ,m,46.69
225,inquiet,inquiet,ADJ,m,46.55
226,inquiets,inquiet,ADJ,m,46.55
227,éternel,éternel,ADJ,m,45.88
228,éternels,éternel,ADJ,m,45.88
229,muet,muet,ADJ,m,45.74
230,muets,muet,ADJ,m,45.74
232,sacré,sacré,ADJ,m,45.2
233,sacrés,sacré,ADJ,m,45.2
235,venu,venu,ADJ,m,44.39
236,venus,venu,ADJ,m,44.39
237,complet,complet,ADJ,m,44.12
238,complets,complet,ADJ,m,44.12
239,demi,demi,ADJ,m,43.51
241,parfait,parfait,ADJ,m,43.45
242,parfaits,parfait,ADJ,m,43.45
243,saint,saint,ADJ,m,42.77
244,saints,saint,ADJ,m,42.77
245,gai,gai,ADJ,m,41.76
246,gais,gai,ADJ,m,41.76
247,moyen,moyen,ADJ,m,41.69
248,moyens,moyen,ADJ,m,41.69
249,total,total,ADJ,m,41.62
250,totaux,total,ADJ,m,41.62
251,régulier,régulier,ADJ,m,41.35
252,réguliers,régulier,ADJ,m,41.35
253,serré,serré,ADJ,m,41.28
254,serrés,serré,ADJ,m,41.28
255,charmant,charmant,ADJ,m,41.15
256,charmants,charmant,ADJ,m,41.15
257,réel,réel,ADJ,m,40.95
258,réels,réel,ADJ,m,40.95
261,glacé,glacé,ADJ,m,40.27
263,net,net,ADJ,m,40.2
264,nets,net,ADJ,m,40.2
265,habituel,habituel,ADJ,m,39.93
266,habituels,habituel,ADJ,m,39.93
269,égal,égal,ADJ,m,39.32
270,égaux,égal,ADJ,m,39.32
272,principal,principal,ADJ,m,38.92
273,principaux,principal,ADJ,m,38.92
274,exact,exact,ADJ,m,38.58
275,exacts,exact,ADJ,m,38.58
276,tendu,tendu,ADJ,m,37.57
277,tendus,tendu,ADJ,m,37.57
279,quotidien,quotidien,ADJ,m,37.43
280,quotidiens,quotidien,ADJ,m,37.43
281,central,central,ADJ,m,37.23
282,centraux,central,ADJ,m,37.23
285,bel,bel,ADJ,m,37.09
286,délicat,délicat,ADJ,m,37.03
287,délicats,délicat,ADJ,m,37.03
288,juif,juif,ADJ,m,36.76
289,juifs,juif,ADJ,m,36.76
290,futur,futur,ADJ,m,36.35
291,futurs,futur,ADJ,m,36.35
292,brûlant,brûlant,ADJ,m,36.28
294,cruel,cruel,ADJ,m,35.88
295,cruels,cruel,ADJ,m,35.88
297,attentif,attentif,ADJ,m,35.74
298,attentifs,attentif,ADJ,m,35.74
299,italien,italien,ADJ,m,35.74
300,italiens,italien,ADJ,m,35.74
303,brutal,brutal,ADJ,m,35.34
305,nul,nul,ADJ,m,35.07
306,nul,nul,ADJ:ind,m,35.07
307,nuls,nul,ADJ,m,35.07
309,moral,moral,ADJ,m,34.53
310,moraux,moral,ADJ,m,34.53
311,absolu,absolu,ADJ,m,34.39
313,méchant,méchant,ADJ,m,34.05
314,méchants,méchant,ADJ,m,34.05
315,con,con,ADJ,m,33.92
316,cons,con,ADJ,m,33.92
317,excellent,excellent,ADJ,m,33.92
318,excellents,excellent,ADJ,m,33.92
319,évident,évident,ADJ,m,33.58
320,évidents,évident,ADJ,m,33.58
321,mouillé,mouillé,ADJ,m,33.51
323,idiot,idiot,ADJ,m,33.24
324,idiots,idiot,ADJ,m,33.24
325,discret,discret,ADJ,m,33.04
326,discrets,discret,ADJ,m,33.04
327,féminin,féminin,ADJ,m,32.91
328,féminins,féminin,ADJ,m,32.91
329,familial,familial,ADJ,m,32.84
330,familiaux,familial,ADJ,m,32.84
331,officiel,officiel,ADJ,m,32.84
332,officiels,officiel,ADJ,m,32.84
333,endormi,endormi,ADJ,m,32.3
335,vu,vu,ADJ,m,32.23
336,vus,vu,ADJ,m,32.23
337,aigu,aigu,ADJ,m,32.09
338,aigus,aigu,ADJ,m,32.09
339,intact,intact,ADJ,m,31.89
341,définitif,définitif,ADJ,m,31.76
342,définitifs,définitif,ADJ,m,31.76
343,fatigué,fatigué,ADJ,m,31.62
344,fatigués,fatigué,ADJ,m,31.62
345,pressé,pressé,ADJ,m,31.42
346,pressés,pressé,ADJ,m,31.42
347,spécial,spécial,ADJ,m,31.22
348,spéciaux,spécial,ADJ,m,31.22
351,transparent,transparent,ADJ,m,30.81
352,transparents,transparent,ADJ,m,30.81
353,âgé,âgé,ADJ,m,30.74
354,âgés,âgé,ADJ,m,30.74
355,élevé,élevé,ADJ,m,30.68
356,élevés,élevé,ADJ,m,30.68
357,parisien,parisien,ADJ,m,30.61
358,parisiens,parisien,ADJ,m,30.61
360,indifférent,indifférent,ADJ,m,30.14
361,indifférents,indifférent,ADJ,m,30.14
362,tels,tels,ADJ:ind,m,30.14
363,amer,amer,ADJ,m,30.07
365,étonnant,étonnant,ADJ,m,30.0
366,étonnants,étonnant,ADJ,m,30.0
367,extérieur,extérieur,ADJ,m,29.86
368,extérieurs,extérieur,ADJ,m,29.86
369,absent,absent,ADJ,m,29.8
370,absents,absent,ADJ,m,29.8
371,grec,grec,ADJ,m,29.46
372,grecs,grec,ADJ,m,29.46
373,prisonnier,prisonnier,ADJ,m,29.46
374,prisonniers,prisonnier,ADJ,m,29.46
375,royal,royal,ADJ,m,29.26
376,royaux,royal,ADJ,m,29.26
377,connu,connu,ADJ,m,28.92
378,connus,connu,ADJ,m,28.92
379,élégant,élégant,ADJ,m,28.85
380,élégants,élégant,ADJ,m,28.85
382,intéressant,intéressant,ADJ,m,28.65
383,intéressants,intéressant,ADJ,m,28.65
384,civil,civil,ADJ,m,28.51
385,civils,civil,ADJ,m,28.51
388,carré,carré,ADJ,m,27.77
389,carrés,carré,ADJ,m,27.77
390,menu,menu,ADJ,m,27.77
391,menus,menu,ADJ,m,27.77
392,infini,infini,ADJ,m,27.03
394,coupé,coupé,ADJ,m,26.96
395,coupés,coupé,ADJ,m,26.96
396,laid,laid,ADJ,m,26.82
398,direct,direct,ADJ,m,26.69
399,directs,direct,ADJ,m,26.69
400,violet,violet,ADJ,m,26.28
402,banal,banal,ADJ,m,26.22
406,levé,levé,ADJ,m,26.01
407,levés,levé,ADJ,m,26.01
408,ami,ami,ADJ,m,25.95
409,amis,ami,ADJ,m,25.95
410,allié,allié,ADJ,m,25.68
411,alliés,allié,ADJ,m,25.68
414,inattendu,inattendu,ADJ,m,25.14
415,inattendus,inattendu,ADJ,m,25.14
416,espagnol,espagnol,ADJ,m,25.0
417,espagnols,espagnol,ADJ,m,25.0
418,divin,divin,ADJ,m,24.93
420,international,international,ADJ,m,24.86
421,internationaux,international,ADJ,m,24.86
422,immédiat,immédiat,ADJ,m,24.59
423,immédiats,immédiat,ADJ,m,24.59
424,compliqué,compliqué,ADJ,m,24.46
425,compliqués,compliqué,ADJ,m,24.46
426,abandonné,abandonné,ADJ,m,24.39
427,abandonnés,abandonné,ADJ,m,24.39
430,précédent,précédent,ADJ,m,24.12
431,précédents,précédent,ADJ,m,24.12
433,maternel,maternel,ADJ,m,23.72
436,franc,franc,ADJ,m,23.45
437,francs,franc,ADJ,m,23.45
438,récent,récent,ADJ,m,23.45
439,récents,récent,ADJ,m,23.45
