Unnamed: 0,Word,lemme,cgram,genre,freqlemlivres,number
1813,superficiel,superficiel,ADJ,m,5.61,singular
1887,éloquent,éloquent,ADJ,m,5.34,singular
1905,intégral,intégral,ADJ,m,5.27,singular
1934,paradoxal,paradoxal,ADJ,m,5.14,singular
1941,accueillants,accueillant,ADJ,m,5.07,plural
1950,enclin,enclin,ADJ,m,5.07,singular
1951,enclins,enclin,ADJ,m,5.07,plural
1997,éminent,éminent,ADJ,m,5.0,singular
1998,éminents,éminent,ADJ,m,5.0,plural
2043,adéquat,adéquat,ADJ,m,4.8,singular
2044,adéquats,adéquat,ADJ,m,4.8,plural
2073,confidentiel,confidentiel,ADJ,m,4.73,singular
2074,confidentiels,confidentiel,ADJ,m,4.73,plural
2111,cohérent,cohérent,ADJ,m,4.66,singular
2112,cohérents,cohérent,ADJ,m,4.66,plural
2129,vigilants,vigilant,ADJ,m,4.66,plural
2181,ledit,ledit,ADJ,m,4.46,singular
2186,significatif,significatif,ADJ,m,4.46,singular
2187,significatifs,significatif,ADJ,m,4.46,plural
2209,électoral,électoral,ADJ,m,4.39,singular
2210,électoraux,électoral,ADJ,m,4.39,plural
2218,décent,décent,ADJ,m,4.32,singular
2251,convaincant,convaincant,ADJ,m,4.26,singular
2271,martiaux,martial,ADJ,m,4.26,plural
2272,médiéval,médiéval,ADJ,m,4.26,singular
2273,médiévaux,médiéval,ADJ,m,4.26,plural
2322,annuel,annuel,ADJ,m,4.12,singular
2323,annuels,annuel,ADJ,m,4.12,plural
2332,décoratif,décoratif,ADJ,m,4.12,singular
2333,décoratifs,décoratif,ADJ,m,4.12,plural
2340,ambiant,ambiant,ADJ,m,4.05,singular
2472,échéant,échéant,ADJ,m,3.85,singular
2541,immatériel,immatériel,ADJ,m,3.72,singular
2725,pénal,pénal,ADJ,m,3.38,singular
2744,encourageants,encourageant,ADJ,m,3.31,plural
2863,vil,vil,ADJ,m,3.18,singular
2871,aucuns,aucuns,ADJ:ind,m,3.11,plural
2876,compétent,compétent,ADJ,m,3.11,singular
2877,compétents,compétent,ADJ,m,3.11,plural
2900,simultané,simultané,ADJ,m,3.11,singular
3001,primordial,primordial,ADJ,m,2.97,singular
3044,crucial,crucial,ADJ,m,2.91,singular
3045,cruciaux,crucial,ADJ,m,2.91,plural
3058,instructif,instructif,ADJ,m,2.91,singular
3096,fictif,fictif,ADJ,m,2.84,singular
3097,fictifs,fictif,ADJ,m,2.84,plural
3153,ministériel,ministériel,ADJ,m,2.77,singular
3154,ministériels,ministériel,ADJ,m,2.77,plural
3177,architectural,architectural,ADJ,m,2.7,singular
3178,architecturaux,architectural,ADJ,m,2.7,plural
3185,corporel,corporel,ADJ,m,2.7,singular
3186,corporels,corporel,ADJ,m,2.7,plural
3222,transversal,transversal,ADJ,m,2.7,singular
3276,persistants,persistant,ADJ,m,2.64,plural
3282,sensé,sensé,ADJ,m,2.64,singular
3314,global,global,ADJ,m,2.57,singular
3315,globaux,global,ADJ,m,2.57,plural
3330,opportun,opportun,ADJ,m,2.57,singular
3473,substantiel,substantiel,ADJ,m,2.43,singular
3548,ultérieur,ultérieur,ADJ,m,2.36,singular
3549,ultérieurs,ultérieur,ADJ,m,2.36,plural
3658,environnants,environnant,ADJ,m,2.23,plural
3695,syndical,syndical,ADJ,m,2.23,singular
3696,syndicaux,syndical,ADJ,m,2.23,plural
3720,chirurgical,chirurgical,ADJ,m,2.16,singular
3758,omniprésent,omniprésent,ADJ,m,2.16,singular
3767,représentatif,représentatif,ADJ,m,2.16,singular
3768,représentatifs,représentatif,ADJ,m,2.16,plural
3776,virtuel,virtuel,ADJ,m,2.16,singular
3777,virtuels,virtuel,ADJ,m,2.16,plural
3800,expressif,expressif,ADJ,m,2.09,singular
3843,attachants,attachant,ADJ,m,2.03,plural
3859,départemental,départemental,ADJ,m,2.03,singular
3860,départementaux,départemental,ADJ,m,2.03,plural
3969,présidentiel,présidentiel,ADJ,m,1.96,singular
4002,ci-joint,ci-joint,ADJ,m,1.89,singular
4074,abusif,abusif,ADJ,m,1.82,singular
4095,consécutif,consécutif,ADJ,m,1.82,singular
4096,consécutifs,consécutif,ADJ,m,1.82,plural
4107,férié,férié,ADJ,m,1.82,singular
4108,fériés,férié,ADJ,m,1.82,plural
4111,hivernal,hivernal,ADJ,m,1.82,singular
4116,inhérents,inhérent,ADJ,m,1.82,plural
4132,ponctuel,ponctuel,ADJ,m,1.82,singular
4133,ponctuels,ponctuel,ADJ,m,1.82,plural
4194,estival,estival,ADJ,m,1.76,singular
4205,illégal,illégal,ADJ,m,1.76,singular
4206,illégaux,illégal,ADJ,m,1.76,plural
4272,gouvernemental,gouvernemental,ADJ,m,1.69,singular
4273,gouvernementaux,gouvernemental,ADJ,m,1.69,plural
4277,inchangé,inchangé,ADJ,m,1.69,singular
4292,nocifs,nocif,ADJ,m,1.69,plural
4328,artisanal,artisanal,ADJ,m,1.62,singular
4329,artisanaux,artisanal,ADJ,m,1.62,plural
4349,distinctif,distinctif,ADJ,m,1.62,singular
4464,fonctionnel,fonctionnel,ADJ,m,1.55,singular
4465,fonctionnels,fonctionnel,ADJ,m,1.55,plural
4573,floral,floral,ADJ,m,1.49,singular
4597,marquants,marquant,ADJ,m,1.49,plural
4796,fluvial,fluvial,ADJ,m,1.35,singular
4856,résidentiel,résidentiel,ADJ,m,1.35,singular
4857,résidentiels,résidentiel,ADJ,m,1.35,plural
4903,constructif,constructif,ADJ,m,1.28,singular
4968,nouveau-nés,nouveau-né,ADJ,m,1.28,plural
4975,pertinent,pertinent,ADJ,m,1.28,singular
4976,pertinents,pertinent,ADJ,m,1.28,plural
5021,attrayant,attrayant,ADJ,m,1.22,singular
5110,occasionnel,occasionnel,ADJ,m,1.22,singular
5111,occasionnels,occasionnel,ADJ,m,1.22,plural
