"Word","lemme","cgram","genre","nombre","freqlemlivres"
"livres","livre","NOM","","p","286.49"
"bouche","bouche","NOM","f","s","283.45"
"bouches","bouche","NOM","f","p","283.45"
"voiture","voiture","NOM","","s","283.11"
"voitures","voiture","NOM","f","p","283.11"
"bruit","bruit","NOM","m","s","281.49"
"bruits","bruit","NOM","m","p","281.49"
"tout","tout","NOM","m","s","281.01"
"touts","tout","NOM","m","p","281.01"
"fenêtre","fenêtre","NOM","f","s","280.2"
"fenêtres","fenêtre","NOM","f","p","280.2"
"façon","façon","NOM","f","s","277.3"
"façons","façon","NOM","f","p","277.3"
"pièce","pièce","NOM","f","s","276.35"
"pièces","pièce","NOM","f","p","276.35"
"suite","suite","NOM","f","s","275.81"
"suites","suite","NOM","f","p","275.81"
"famille","famille","NOM","f","s","274.39"
"familles","famille","NOM","f","p","274.39"
"lumière","lumière","NOM","f","s","274.26"
"lumières","lumière","NOM","f","p","274.26"
"geste","geste","NOM","","s","271.08"
"gestes","geste","NOM","","p","271.08"
"face","face","NOM","f","s","270.88"
"faces","face","NOM","f","p","270.88"
"cheveu","cheveu","NOM","m","s","270.68"
"cheveux","cheveu","NOM","m","p","270.68"
"lieu","lieu","NOM","m","s","267.57"
"lieus","lieu","NOM","m","p","267.57"
"lieux","lieu","NOM","m","p","267.57"
"besoin","besoin","NOM","m","s","266.62"
"besoins","besoin","NOM","m","p","266.62"
"travail","travail","NOM","m","s","263.45"
"travaux","travail","NOM","m","p","263.45"
"garçon","garçon","NOM","m","s","262.5"
"garçons","garçon","NOM","m","p","262.5"
"envie","envie","NOM","f","s","258.11"
"envies","envie","NOM","f","p","258.11"
"mer","mer","NOM","f","s","257.57"
"mers","mer","NOM","f","p","257.57"
"doigt","doigt","NOM","m","s","256.15"
"doigts","doigt","NOM","m","p","256.15"
"milieu","milieu","NOM","m","s","256.08"
"milieux","milieu","NOM","m","p","256.08"
"lettre","lettre","NOM","f","s","256.01"
"lettres","lettre","NOM","f","p","256.01"
"affaire","affaire","NOM","f","s","253.38"
"affaires","affaire","NOM","f","p","253.38"
"fils","fils","NOM","m","","247.64"
"travers","travers","NOM","m","","247.64"
"pays","pays","NOM","m","","241.55"
"général","général","NOM","m","s","236.89"
"générale","général","NOM","f","s","236.89"
"générales","général","NOM","f","p","236.89"
"généraux","général","NOM","m","p","236.89"
"feu","feu","NOM","m","s","236.15"
"feux","feu","NOM","m","p","236.15"
"ordre","ordre","NOM","m","s","235.34"
"ordres","ordre","NOM","m","p","235.34"
"plaisir","plaisir","NOM","m","s","233.85"
"plaisirs","plaisir","NOM","m","p","233.85"
"ombre","ombre","NOM","","s","233.45"
"ombres","ombre","NOM","","p","233.45"
"chemin","chemin","NOM","m","s","231.42"
"chemins","chemin","NOM","m","p","231.42"
"verre","verre","NOM","m","s","230.07"
"verres","verre","NOM","m","p","230.07"
"bord","bord","NOM","m","s","228.11"
"bords","bord","NOM","m","p","228.11"
"lèvre","lèvre","NOM","f","s","222.03"
"lèvres","lèvre","NOM","f","p","222.03"
"jambe","jambe","NOM","f","s","220.95"
"jambes","jambe","NOM","f","","220.95"
"vent","vent","NOM","m","s","220.27"
"vents","vent","NOM","m","p","220.27"
"état","état","NOM","m","s","218.18"
"états","état","NOM","m","p","218.18"
"sens","sens","NOM","m","s","217.5"
"âge","âge","NOM","m","s","217.43"
"âges","âge","NOM","m","p","217.43"
"cas","cas","NOM","m","","217.36"
"frère","frère","NOM","m","s","216.35"
"frères","frère","NOM","m","p","216.35"
"esprit","esprit","NOM","m","s","216.28"
"esprits","esprit","NOM","m","p","216.28"
"salle","salle","NOM","f","s","215.81"
"salles","salle","NOM","f","p","215.81"
"sourire","sourire","NOM","m","s","215.34"
"sourires","sourire","NOM","m","p","215.34"
"dos","dos","NOM","m","","213.99"
"partie","partie","NOM","f","s","211.49"
"parties","partie","NOM","f","p","211.49"
"personne","personne","NOM","f","s","209.8"
