,0
0,310
1,54
2,384
3,208
4,359
5,81
6,360
7,182
8,158
9,285
10,310
11,54
12,158
13,285
14,359
15,384
16,172
17,495
18,250
19,200
20,310
21,54
22,81
23,288
24,285
25,278
26,384
27,25
28,172
29,311
30,310
31,54
32,57
33,278
34,25
35,384
36,420
37,213
38,325
39,81
40,310
41,54
42,288
43,81
44,285
45,384
46,278
47,172
48,495
49,311
50,310
51,54
52,285
53,278
54,81
55,288
56,25
57,495
58,172
59,359
