,0
0,310
1,54
2,208
3,384
4,359
5,158
6,81
7,285
8,182
9,172
10,310
11,54
12,158
13,285
14,359
15,172
16,384
17,495
18,250
19,182
20,310
21,81
22,288
23,250
24,507
25,278
26,285
27,54
28,172
29,25
30,310
31,54
32,288
33,285
34,278
35,384
36,81
37,25
38,250
39,172
40,310
41,288
42,81
43,54
44,250
45,285
46,172
47,278
48,507
49,359
50,310
51,54
52,285
53,288
54,278
55,81
56,243
57,359
58,172
59,182
