,0
0,310
1,54
2,384
3,359
4,285
5,81
6,200
7,360
8,455
9,192
10,310
11,285
12,54
13,384
14,455
15,495
16,200
17,360
18,192
19,25
20,310
21,54
22,192
23,384
24,274
25,84
26,56
27,318
28,285
29,25
30,310
31,25
32,54
33,278
34,84
35,274
36,384
37,285
38,81
39,311
40,310
41,54
42,192
43,274
44,84
45,56
46,384
47,474
48,5
49,285
50,310
51,54
52,285
53,278
54,81
55,288
56,25
57,455
58,56
59,495
