Word,lemme,cgram,freq
étiez,être,VER,114.69
devons,devoir,VER,114.35
inquiète,inquiéter,VER,114.06
tirer,tirer,VER,113.71
morte,mourir,VER,112.36
excuse,excuser,VER,111.82
fallait,falloir,VER,110.88
tiens,tenir,VER,110.63
ferais,faire,VER,110.19
monte,monter,VER,109.76
pars,partir,VER,109.45
vue,voir,VER,109.21
devait,devoir,VER,108.88
devenir,devenir,VER,108.83
allais,aller,VER,108.69
pouvait,pouvoir,VER,108.02
tire,tirer,VER,107.25
restez,rester,VER,105.52
revenir,revenir,VER,105.46
agit,agir,VER,105.02
entrez,entrer,VER,104.85
oublie,oublier,VER,104.78
cru,croire,VER,104.49
jure,jurer,VER,104.04
mange,manger,VER,103.81
connaît,connaître,VER,103.42
sauver,sauver,VER,103.1
commencé,commencer,VER,102.62
soyez,être,VER,102.17
apprendre,apprendre,VER,101.76
retrouver,retrouver,VER,100.9
tenez,tenir,VER,99.49
envoie,envoyer,VER,98.92
manque,manquer,VER,98.77
disais,dire,VER,98.37
désolée,désoler,VER,98.22
foutre,foutre,VER,97.99
occuper,occuper,VER,97.22
finir,finir,VER,96.48
compte,compter,VER,96.47
appelez,appeler,VER,95.78
maintenant,maintenir,VER,95.61
calme,calmer,VER,94.16
disait,dire,VER,94
fasse,faire,VER,93.83
garde,garder,VER,93.72
venue,venir,VER,93.14
porte,porter,VER,93.05
gagner,gagner,VER,92.72
commencer,commencer,VER,92.51
écoutez,écouter,VER,92.46
devenu,devenir,VER,92.42
décidé,décider,VER,92.08
touche,toucher,VER,91.91
aimer,aimer,VER,90.44
puisse,pouvoir,VER,90.37
préfère,préférer,VER,90.34
gagné,gagner,VER,89.92
aille,aller,VER,89.81
lire,lire,VER,89.58
met,mettre,VER,89.25
expliquer,expliquer,VER,89.21
suppose,supposer,VER,89.07
connaître,connaître,VER,88.63
disent,dire,VER,88.46
quitter,quitter,VER,88.02
sortez,sortir,VER,87.79
auras,avoir,VER,87.32
serais,être,VER,86.94
ferait,faire,VER,86.88
disparu,disparaître,VER,86.21
oublier,oublier,VER,85.96
existe,exister,VER,85.86
faudra,falloir,VER,85.73
monter,monter,VER,85.7
bouge,bouger,VER,85.45
mettez,mettre,VER,85.44
montre,montrer,VER,85.44
doivent,devoir,VER,85.42
marcher,marcher,VER,85.34
pourra,pouvoir,VER,85.18
écrire,écrire,VER,84.14
rends,rendre,VER,84.13
entre,entrer,VER,84.08
ressemble,ressembler,VER,83.47
su,savoir,VER,83.37
rend,rendre,VER,82.91
promis,promettre,VER,82.83
tenir,tenir,VER,82.83
rencontrer,rencontrer,VER,82.72
coucher,coucher,VER,82.63
envoyé,envoyer,VER,82.52
pourriez,pouvoir,VER,82.51
sort,sortir,VER,82.41
dirai,dire,VER,82.39
continuer,continuer,VER,82.29
lu,lire,VER,82.12
pouvons,pouvoir,VER,82.09
seras,être,VER,81.58
paraît,paraître,VER,81.22
sorti,sortir,VER,81.08
devais,devoir,VER,81.01
savait,savoir,VER,80.85
tourne,tourner,VER,80.72
partie,partir,VER,80.41
asseyez,asseoir,VER,80.07
assieds,asseoir,VER,79.85
ferme,fermer,VER,79.68
ouvrir,ouvrir,VER,79.61
déteste,détester,VER,79.45
porter,porter,VER,79.04
volé,voler,VER,79.01
aurai,avoir,VER,78.85
verra,voir,VER,78.66
réussi,réussir,VER,78.63
terminé,terminer,VER,78.47
tient,tenir,VER,78.32
ait,avoir,VER,78.06
raconte,raconter,VER,78.06
emmène,emmener,VER,77.85
rencontré,rencontrer,VER,77.82
tais,taire,VER,77.46
imagine,imaginer,VER,77.33
arrêté,arrêter,VER,77.28
retourne,retourner,VER,77.27
retourner,retourner,VER,76.96
ignore,ignorer,VER,76.78
tiré,tirer,VER,76.78
continue,continuer,VER,76.64
viennent,venir,VER,76.48
reçu,recevoir,VER,76.46
aimé,aimer,VER,75.92
battre,battre,VER,75.92
devriez,devoir,VER,75.83
faisais,faire,VER,75.81
lâche,lâcher,VER,75.31
intéresse,intéresser,VER,75.2
revoir,revoir,VER,75.13
aurais,avoir,VER,74.56
vit,vivre,VER,74.42
sent,sentir,VER,74.27
faudrait,falloir,VER,74.08
devoir,devoir,VER,74.06
suivre,suivre,VER,73.92
partez,partir,VER,73.82
poser,poser,VER,73.73
vendre,vendre,VER,73.62
servir,servir,VER,73.55
sert,servir,VER,73.13
écouter,écouter,VER,73.13
acheté,acheter,VER,72.38
irai,aller,VER,71.96
emmener,emmener,VER,70.34
connu,connaître,VER,70.33
danser,danser,VER,70.06
trouves,trouver,VER,70.05
joué,jouer,VER,69.83
envoyer,envoyer,VER,69.77
devient,devenir,VER,69.59
comprenez,comprendre,VER,68.86
promets,promettre,VER,68.81
croit,croire,VER,68.72
voler,voler,VER,67.88
change,changer,VER,67.83
part,partir,VER,67.76
lève,lever,VER,67.72
appelles,appeler,VER,67.07
tombe,tomber,VER,66.39
payé,payer,VER,66.22
apporte,apporter,VER,65.97
descendre,descendre,VER,65.28
asseoir,asseoir,VER,65.1
aurait,avoir,VER,64.61
faisons,faire,VER,64.49
aidez,aider,VER,64.36
savent,savoir,VER,64.32
ouvrez,ouvrir,VER,64.17
marier,marier,VER,63.88
vouloir,vouloir,VER,63.87
dérange,déranger,VER,63.69
réponds,répondre,VER,63.59
rire,rire,VER,63.29
revient,revenir,VER,63.17
quitté,quitter,VER,62.92
tombé,tomber,VER,62.89
trouvez,trouver,VER,62.69
protéger,protéger,VER,62.53
descends,descendre,VER,62.31
aimez,aimer,VER,62.25
utiliser,utiliser,VER,61.97
sauvé,sauver,VER,61.62
pleurer,pleurer,VER,61.6
présente,présenter,VER,61.59
retrouve,retrouver,VER,61.54
cacher,cacher,VER,61.06
fiche,ficher,VER,60.95
aurez,avoir,VER,60.72
conduire,conduire,VER,60.56
mangé,manger,VER,60.43
pleure,pleurer,VER,60.17
amène,amener,VER,59.8
réveille,réveiller,VER,59.67
habite,habiter,VER,59.55
attendais,attendre,VER,59.29
jeter,jeter,VER,59.28
aie,avoir,VER,58.62
sentir,sentir,VER,58.48
choisi,choisir,VER,58.19
arrivent,arriver,VER,58.12
aimais,aimer,VER,58.07
sauter,sauter,VER,57.89
épouser,épouser,VER,57.87
raconter,raconter,VER,57.79
répondre,répondre,VER,57.76
dirais,dire,VER,57.65
pose,poser,VER,57.41
revenu,revenir,VER,57.3
suivez,suivre,VER,57.03
